,Open,High,Low,Close,Adj Close,Volume
2020-12-07 09:15:00+05:30,505.0,526.9000244140625,499.54998779296875,520.0,520.0,0
2020-12-07 10:15:00+05:30,520.2000122070312,521.7999877929688,509.1000061035156,512.3499755859375,512.3499755859375,5240496
2020-12-07 11:15:00+05:30,511.3500061035156,515.25,507.54998779296875,513.0,513.0,3758207
2020-12-07 12:15:00+05:30,513.0,513.7999877929688,510.54998779296875,512.2999877929688,512.2999877929688,1206479
2020-12-07 13:15:00+05:30,512.3499755859375,515.4000244140625,509.75,514.4500122070312,514.4500122070312,1986526
2020-12-07 14:15:00+05:30,514.3499755859375,515.4000244140625,505.8500061035156,509.1000061035156,509.1000061035156,3465514
2020-12-07 15:15:00+05:30,509.0,510.29998779296875,505.0,510.29998779296875,510.29998779296875,1615012
2020-12-08 09:15:00+05:30,514.4000244140625,520.5999755859375,508.3999938964844,511.25,511.25,0
2020-12-08 10:15:00+05:30,511.0,511.29998779296875,502.25,505.75,505.75,3153142
2020-12-08 11:15:00+05:30,505.3500061035156,508.45001220703125,501.5,506.25,506.25,2082472
2020-12-08 12:15:00+05:30,506.20001220703125,506.8500061035156,504.0,504.45001220703125,504.45001220703125,871659
2020-12-08 13:15:00+05:30,504.5,506.0,504.25,505.0,505.0,643331
2020-12-08 14:15:00+05:30,505.0,514.5499877929688,504.75,509.8999938964844,509.8999938964844,3723534
2020-12-08 15:15:00+05:30,510.0,511.8999938964844,507.45001220703125,510.45001220703125,510.45001220703125,1050359
2020-12-09 09:15:00+05:30,514.4500122070312,516.0,507.04998779296875,508.6499938964844,508.6499938964844,0
2020-12-09 10:15:00+05:30,508.70001220703125,513.9500122070312,508.5,511.79998779296875,511.79998779296875,820045
2020-12-09 11:15:00+05:30,511.70001220703125,515.5499877929688,511.20001220703125,512.7999877929688,512.7999877929688,966547
2020-12-09 12:15:00+05:30,512.7000122070312,512.9500122070312,509.45001220703125,509.8999938964844,509.8999938964844,576114
2020-12-09 13:15:00+05:30,509.8999938964844,511.0,509.5,509.79998779296875,509.79998779296875,345332
2020-12-09 14:15:00+05:30,510.0,511.70001220703125,507.20001220703125,510.1000061035156,510.1000061035156,982419
2020-12-09 15:15:00+05:30,510.1000061035156,512.4500122070312,509.25,511.0,511.0,454807
2020-12-10 09:15:00+05:30,511.5,513.8499755859375,503.1000061035156,504.1499938964844,504.1499938964844,0
2020-12-10 10:15:00+05:30,504.1499938964844,510.0,503.5,508.8999938964844,508.8999938964844,746158
2020-12-10 11:15:00+05:30,508.70001220703125,512.2000122070312,506.5,508.45001220703125,508.45001220703125,575818
2020-12-10 12:15:00+05:30,508.5,508.8999938964844,506.3999938964844,507.0,507.0,330956
2020-12-10 13:15:00+05:30,506.75,509.1000061035156,506.25,507.5,507.5,353815
2020-12-10 14:15:00+05:30,507.45001220703125,510.5,507.04998779296875,510.0,510.0,892981
2020-12-10 15:15:00+05:30,510.20001220703125,513.25,510.0,511.70001220703125,511.70001220703125,559825
2020-12-11 09:15:00+05:30,511.20001220703125,513.4500122070312,507.5,510.29998779296875,510.29998779296875,1057832
2020-12-11 10:15:00+05:30,510.29998779296875,513.5999755859375,509.1000061035156,510.04998779296875,510.04998779296875,763382
2020-12-11 11:15:00+05:30,510.0,510.29998779296875,504.45001220703125,506.70001220703125,506.70001220703125,733794
2020-12-11 12:15:00+05:30,506.5,508.6499938964844,505.25,508.1499938964844,508.1499938964844,541796
2020-12-11 13:15:00+05:30,508.1499938964844,510.5,506.3500061035156,506.79998779296875,506.79998779296875,645186
2020-12-11 14:15:00+05:30,506.79998779296875,509.0,505.29998779296875,507.25,507.25,793244
2020-12-11 15:15:00+05:30,507.75,509.3999938964844,507.3999938964844,508.1499938964844,508.1499938964844,494715
2020-12-14 09:15:00+05:30,509.8500061035156,510.79998779296875,506.29998779296875,507.0,507.0,0
2020-12-14 10:15:00+05:30,506.95001220703125,510.5,506.6000061035156,507.8500061035156,507.8500061035156,485934
2020-12-14 11:15:00+05:30,507.8999938964844,510.5,507.70001220703125,509.75,509.75,376928
