Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-06,2881.708810774228,3035.900501898737,2875.2673136733847,3004.343017578125,5060514,0.0,0
2021-09-07,3045.887085644644,3300.543219034606,3041.243453677976,3282.467529296875,11555311,0.0,0
2021-09-08,3325.5096232025144,3418.0345907199057,3261.14658030852,3291.954833984375,8872794,0.0,0
2021-09-09,3245.6173238334595,3353.471684133156,3177.958685775085,3290.556640625,5665215,0.0,0
2021-09-13,3310.5297728985893,3446.046734749382,3305.5365153225735,3431.116943359375,4778463,0.0,0
2021-09-14,3482.2978178035464,3753.7313471735138,3471.3126511858695,3733.40869140625,11821825,0.0,0
2021-09-15,3788.883727070108,3934.586880937096,3647.3248793336325,3677.284423828125,8556280,0.0,0
2021-09-16,3739.7501306206627,3793.627329486096,3677.2844314577633,3764.616455078125,3602211,0.0,0
2021-09-17,3814.848807095536,4014.279466913615,3785.5882687919197,3858.190185546875,12324159,0.0,0
2021-09-20,3843.610048895285,3843.610048895285,3675.2373037864295,3702.89990234375,4695511,0.0,0
2021-09-21,3728.64990234375,3849.800048828125,3550.0,3624.550048828125,5303431,5.0,0
2021-09-22,3674.0,3750.0,3640.5,3671.300048828125,2908094,0.0,0
2021-09-23,3744.0,3759.0,3680.0,3694.050048828125,1430787,0.0,0
2021-09-24,3720.0,3736.0,3640.0,3689.25,1539638,0.0,0
2021-09-27,3735.10009765625,3865.0,3701.0,3834.89990234375,3722464,0.0,0
2021-09-28,3895.0,3975.0,3782.0,3865.60009765625,6577314,0.0,0
2021-09-29,3858.89990234375,3858.89990234375,3755.550048828125,3770.14990234375,2579151,0.0,0
2021-09-30,3820.0,3880.0,3777.199951171875,3798.5,2924892,0.0,0
2021-10-01,3777.0,3821.0,3733.14990234375,3793.60009765625,1599816,0.0,0
2021-10-04,3812.60009765625,4064.85009765625,3808.39990234375,4008.89990234375,5278868,0.0,0
2021-10-05,4085.0,4208.39990234375,4005.0,4166.10009765625,7369295,0.0,0
2021-10-06,4199.0,4510.0,4180.0,4463.0498046875,5622751,0.0,0
