Symbol,Price,Company name
NSE:KPRMILL,466.35,K.P.R. Mill Limited
NSE:KPIT,NaN,KPIT Technologies Limited
NSE:KOTAKBANK,2038,Kotak Mahindra Bank Limited
NSE:KTIL,NaN,Kesar Terminals & Infrastructure Limited
NSE:KSK,NaN,KSK Energy Ventures Limited
NSE:KSERASERA,NaN,KSS Limited
NSE:KSCL,554.85,Kaveri Seed Company Limited
NSE:KOTHARIPRO,110.5,Kothari Products Limited
NSE:KOTARISUG,35.2,Kothari Sugars and Chemicals Limited
NSE:KOPRAN,218.8,Kopran Limited
NSE:KNRCON,310.15,KNR Constructions Limited
NSE:KITEX,166.7,Kitex Garments Limited
NSE:KIRLOSENG,222,Kirloskar Oil Engines Limited
NSE:KBIL,NaN,Kirloskar Brothers Investments Ltd.
NSE:KGL,NaN,Karuturi Global Limited
NSE:KESARENT,NaN,Kesar Enterprises Limited
NSE:KEC,464.65,KEC International Limited
NSE:KCPSUGIND,23.65,K.C.P. Sugar and Industries Corporation Limited
NSE:EKC,124,Everest Kanto Cylinder Limited
NSE:KSL,403.45,Kalyani Steels Limited
NSE:KANSAINER,608.25,Kansai Nerolac Paints Limited
NSE:SKUMARSYN,NaN,S. Kumars Nationwide Ltd.
NSE:KICL-EQ,NaN,KALYANI INVESTMENT COMPANY LIMI
NSE:MRF,85290,MRF Limited
NSE:TATASTEEL,1409.15,Tata Steel Limited
NSE:RELIANCE,2702.35,Reliance Industries Limited
NSE:NOCIL,308.8,NOCIL Limited
NSE:ICIL,291.35,Indo Count Industries Limited
NSE:TCS,3633.9,Tata Consultancy Services Limited
NSE:SURANAIND,NaN,Surana Industries Limited
NSE:SASKEN,1388.3,Sasken Technologies Limited
NSE:RELINFRA,99.5,Reliance Infrastructure Limited
NSE:PRAJIND,335.95,Praj Industries Limited
NSE:NICCO,NaN,Nicco Corporation Limited
NSE:MARUTI,7671.6,Maruti Suzuki India Limited
NSE:LUPIN,940.95,Lupin Limited
NSE:CAIRN,NaN,Cairn India Limited
NSE:ZENITHBIR,NaN,Zenith Birla (India) Limited
NSE:YESBANK,14.15,Yes Bank Limited
NSE:XPROINDIA,669,Xpro India Limited
NSE:VOLTAS,1342.75,Voltas Limited
NSE:VISAKAIND,682,Visaka Industries Limited
NSE:USHERAGRO,NaN,Usher Agro Limited
NSE:UFO,105.85,UFO Moviez India Limited
NSE:UFLEX,644,Uflex Limited
NSE:TV18BRDCST,48.05,TV18 Broadcast Limited
NSE:TRIGYN,130.05,Trigyn Technologies Limited
NSE:TRENT,1175.2,Trent Limited
NSE:TIDEWATER,1792.25,"Tide Water Oil Co. (India), Ltd."
NSE:TECHM,1443.7,Tech Mahindra Limited
NSE:TATAMOTORS,522.4,Tata Motors Limited
NSE:TATACHEM,1123.4,Tata Chemicals Limited
NSE:SUNPHARMA,841.95,Sun Pharmaceutical Industries Limited
NSE:SUJANAUNI,NaN,Sujana Universal Industries Limited
NSE:SUBROS,357.25,Subros
NSE:SOUTHBANK,10.6,The South Indian Bank Limited
NSE:SKFINDIA,3269.85,SKF India Limited
NSE:SIEMENS,2282.1,Siemens Limited
NSE:MURLIIND,NaN,Murli Industries Ltd.
NSE:MINDTREE,4747.95,Mindtree Limited
NSE:MINDAIND,788,Minda Industries Limited
NSE:MEGASOFT,18.85,Megasoft Limited
NSE:MCDOWELL-N,889.5,UNITED SPIRITS INR10
NSE:MAGNUM,8.1,Magnum Ventures Limited
NSE:SABTN,2.6,Sri Adhikari Brothers Television Network Limited
NSE:PNC,41.55,Pritish Nandy Communications Ltd
NSE:NTPC,150.85,NTPC Limited
NSE:NCLIND,249.65,NCL Industries Limited
NSE:NBCC,49.6,NBCC (India) Limited
NSE:UNITEDTEA,415.1,The United Nilgiri Tea Estates Company Limited
NSE:RAMANEWS,20.55,Shree Rama Newsprint Limited
NSE:NMDC,156.65,NMDC Limited
NSE:NIITLTD,358.35,NIIT Limited
NSE:NHPC,33.5,NHPC Limited
NSE:NELCO,915,Nelco Limited
NSE:NELCAST,91.05,Nelcast Limited
NSE:NECCLTD,18.95,North Eastern Carrying Corporation Limited
NSE:CONCOR,691.75,Container Corporation of India Limited
NSE:UNIONBANK,46.95,Union Bank of India
NSE:STOREONE,NaN,SORIL Infra Resources Limited
NSE:OUDHSUG,NaN,The Oudh Sugar Mills Limited
NSE:ORBITCORP,NaN,Orbit Corporation Limited
NSE:OMAXE,81.75,Omaxe Limited
NSE:OMAXAUTO,48.85,Omax Autos Limited
NSE:OIL,239,Oil India Limited
NSE:OBEROIRLTY,962.15,Oberoi Realty Limited
NSE:MCX,1980,Multi Commodity Exchange of India Limited
NSE:M100,NaN,Motilal Oswal MOSt Shares Midcap 100 ETF
NSE:LAOPALA,312.15,La Opala RG Limited
NSE:BIRLAERIC,NaN,Birla Cable Limited
NSE:BANKINDIA,61.1,Bank of India Limited
NSE:BANG,36.7,Bang Overseas Limited
NSE:ABAN,67.05,Aban Offshore Limited
NSE:ONWARDTEC,225,Onward Technologies Limited
NSE:SHIV-VANI-EQ,NaN,SHIV-VANI-EQ.NS
NSE:SABERORGA,NaN,SABERO ORGANICS GUJRAT
NSE:TCI,468.35,Transport Corporation of India Limited
NSE:ORIENTBELL,360.35,Orient Bell Limited
NSE:ORTINLABSS-BE,NaN,Ortin Laboratories Ltd
NSE:ORBTEXP-EQ,NaN,ORBIT EXPORTS LTD INR10
NSE:SVOGL,NaN,SVOGL Oil Gas and Energy Limited
NSE:QUINTEGRA,1.05,Quintegra Solutions Limited
NSE:QUICKHEAL,234.35,Quick Heal Technologies Limited
NSE:QGOLDHALF,2038,Quantum Gold ETF
NSE:QUINTEGRA-EQ,NaN,QUINTEGRA SOLUTIONS LTD.
NSE:QNIFTY,1926,Quantum Index ETF
NSE:RUCHISOYA,NaN,Ruchi Soya Industries Limited
NSE:INDOCO,487.65,Indoco Remedies Limited
NSE:GOKUL-BE,NaN,GOKUL REFOILS & SO INR2
NSE:TEXRAIL,37,Texmaco Rail & Engineering Limited
NSE:UTTAMVALUE,NaN,Uttam Value Steels Limited
NSE:UTTAMSTL,4.35,Uttam Galva Steels Limited
NSE:USHAMART,91.5,Usha Martin Limited
NSE:UNITECH,1.8,Unitech Limited
NSE:UNIPLY,NaN,Uniply Industries Limited
NSE:UNIENTER,129.2,Uniphos Enterprises Ltd.
NSE:UMESLTD,4,Usha Martin Education & Solutions Limited
NSE:UGARSUGAR,29.35,The Ugar Sugar Works Limited
