,Symbol,Price,PrevDayClose,ChangeInPercentage
108,NSE:TECHM,1445.0,1430.8,0.99
109,NSE:TATAMOTORS,520.5,497.6,4.6
110,NSE:TATACHEM,1117.95,1084.05,3.13
111,NSE:SUNPHARMA,837.0,841.3,-0.51
112,NSE:SUBROS,355.25,361.65,-1.77
113,NSE:SOUTHBANK,10.95,10.45,4.78
114,NSE:SKFINDIA,3254.2,3280.85,-0.81
115,NSE:SIEMENS,2300.9,2269.35,1.39
116,NSE:MINDTREE,4727.85,4691.2,0.78
117,NSE:MINDAIND,786.15,793.45,-0.92
118,NSE:MEGASOFT,18.8,18.7,0.53
119,NSE:MCDOWELL-N,887.05,888.6,-0.17
120,NSE:MAGNUM,8.35,8.4,-0.6
121,NSE:SABTN,2.5,2.6,-3.85
122,NSE:PNC,41.25,41.35,-0.24
123,NSE:NTPC,151.2,149.4,1.2
124,NSE:NCLIND,250.05,250.85,-0.32
125,NSE:NBCC,49.5,48.45,2.17
126,NSE:UNITEDTEA,422.8,414.2,2.08
127,NSE:RAMANEWS,20.35,20.9,-2.63
128,NSE:NMDC,158.3,153.55,3.09
129,NSE:NIITLTD,356.35,346.95,2.71
130,NSE:NHPC,33.35,30.9,7.93
131,NSE:NELCO,925.7,881.65,5.0
132,NSE:NELCAST,90.7,88.75,2.2
133,NSE:NECCLTD,18.8,18.9,-0.53
134,NSE:CONCOR,691.3,677.35,2.06
135,NSE:UNIONBANK,47.25,44.8,5.47
136,NSE:OMAXE,81.75,81.05,0.86
137,NSE:OMAXAUTO,47.35,48.65,-2.67
138,NSE:OIL,239.0,235.2,1.62
139,NSE:OBEROIRLTY,965.0,956.35,0.9
140,NSE:MCX,1978.45,2067.75,-4.32
141,NSE:LAOPALA,312.55,307.5,1.64
142,NSE:BANKINDIA,61.15,59.85,2.17
143,NSE:BANG,37.0,36.55,1.23
144,NSE:ABAN,66.85,65.3,2.37
145,NSE:ONWARDTEC,225.5,220.7,2.17
146,NSE:TCI,473.35,471.55,0.38
147,NSE:ORIENTBELL,364.9,354.25,3.01
148,NSE:QUINTEGRA,1.05,1.0,5.0
149,NSE:QUICKHEAL,233.5,235.6,-0.89
150,NSE:QGOLDHALF,2039.0,2064.75,-1.25
151,NSE:QNIFTY,1926.0,1910.0,0.84
152,NSE:INDOCO,488.3,463.05,5.45
153,NSE:TEXRAIL,36.95,35.8,3.21
154,NSE:UTTAMSTL,4.25,4.25,0.0
155,NSE:USHAMART,91.4,90.1,1.44
156,NSE:UNITECH,1.8,1.85,-2.7
157,NSE:UNIENTER,130.3,127.45,2.24
158,NSE:UMESLTD,3.9,4.0,-2.5
159,NSE:UGARSUGAR,29.5,29.0,1.72
160,NSE:CUB,172.55,171.35,0.7
161,NSE:BVCL,23.4,22.95,1.96
162,NSE:VSTTILLERS,3232.45,3239.45,-0.22
163,NSE:VSTIND,3850.0,3751.7,2.62
164,NSE:VOLTAMP,1483.0,1478.15,0.33
165,NSE:VIPIND,573.0,575.6,-0.45
166,NSE:VIMTALABS,314.0,297.95,5.39
167,NSE:HMVL,79.55,78.1,1.86
168,NSE:VLSFINANCE,202.0,201.85,0.07
169,NSE:VMART,4425.65,4325.65,2.31
170,NSE:GEECEE,159.5,158.95,0.35
171,NSE:VINYLINDIA,293.35,295.9,-0.86
172,NSE:GNFC,480.8,474.6,1.31
173,NSE:VESUVIUS,1191.3,1193.8,-0.21
174,NSE:VAIBHAVGBL,727.8,714.35,1.88
175,NSE:VADILALIND,1100.0,1072.35,2.58
176,NSE:VASWANI,19.3,17.95,7.52
177,NSE:WIPRO,713.65,708.25,0.76
178,NSE:WANBURY,86.0,82.3,4.5
179,NSE:WELSPUNIND,160.4,160.9,-0.31
180,NSE:WEBELSOLAR,82.9,81.3,1.97
181,NSE:WABCOINDIA,7703.0,7486.85,2.89
182,NSE:WOCKPHARMA,486.25,490.5,-0.87
183,NSE:WHIRLPOOL,2429.05,2445.65,-0.68
184,NSE:WILLAMAGOR,25.35,25.9,-2.12
185,NSE:WENDT,4462.35,4427.2,0.79
186,NSE:ZYDUSWELL,2309.2,2314.15,-0.21
187,NSE:WSTCSTPAPR,274.0,275.75,-0.63
188,NSE:WELENT,101.95,101.45,0.49
