,Symbol,Price,PrevDayClose,ChangeInPercentage
532,NSE:DONEAR,59.1,58.85,0.42
533,NSE:DQE,0.9,0.9,0.0
534,NSE:PDPL,2.95,2.95,0.0
535,NSE:KILITCH,166.25,167.05,-0.48
536,NSE:LALPATHLAB,3667.15,3683.3,-0.44
537,NSE:MANGALAM,143.0,141.35,1.17
538,NSE:DREDGECORP,377.45,377.95,-0.13
539,NSE:JINDRILL,153.4,150.85,1.69
540,NSE:DSSL,168.5,168.75,-0.15
541,NSE:DWARKESH,75.85,75.45,0.53
542,NSE:DYNAMATECH,2837.0,2780.1,2.05
543,NSE:GESHIP,354.25,358.45,-1.17
544,NSE:EASUNREYRL,2.95,2.9,1.72
545,NSE:EASTSILK,5.25,5.5,-4.55
546,NSE:EBANK,3890.0,3965.0,-1.89
547,NSE:ECLERX,2339.95,2300.1,1.73
548,NSE:VIKASECO,2.2,2.1,4.76
549,NSE:GANECOS,499.95,482.55,3.61
550,NSE:EDUCOMP,2.95,3.0,-1.67
551,NSE:EDELWEISS,82.4,79.65,3.45
552,NSE:MTEDUCARE,9.0,8.95,0.56
553,NSE:NAUKRI,7008.2,7008.85,-0.01
554,NSE:NIFTYEES,22705.0,22705.0,0.0
555,NSE:NAVNETEDUL,114.2,115.35,-1.0
556,NSE:SKMEGGPROD,84.6,85.2,-0.7
557,NSE:EICHERMOT,2841.75,2853.2,-0.4
558,NSE:EIHOTEL,144.4,141.85,1.8
559,NSE:EIMCOELECO,409.25,395.2,3.56
560,NSE:EIDPARRY,486.0,484.95,0.22
561,NSE:ELGIEQUIP,203.2,204.6,-0.68
562,NSE:TVSELECT,176.4,169.5,4.07
563,NSE:MIRCELECTR,21.5,20.8,3.37
564,NSE:BAJAJELEC,1301.9,1274.95,2.11
565,NSE:INDNIPPON,415.0,404.5,2.6
566,NSE:ELECTHERM,135.5,141.7,-4.38
567,NSE:ELGIRUBCO,40.3,39.7,1.51
568,NSE:KECL,24.15,24.75,-2.42
569,NSE:PGEL,541.25,545.75,-0.82
570,NSE:ELECON,166.0,166.15,-0.09
571,NSE:SALZERELEC,166.4,165.55,0.51
572,NSE:EMCO,2.1,2.2,-4.55
573,NSE:PIONEEREMB,62.5,61.85,1.05
574,NSE:EMAMILTD,552.3,550.25,0.37
575,NSE:EMMBI,108.25,108.05,0.19
576,NSE:EMKAY,119.25,117.1,1.84
577,NSE:SHEMAROO,144.0,148.6,-3.1
578,NSE:SADBHAV,55.75,54.95,1.46
579,NSE:RELIGARE,175.0,172.2,1.63
580,NSE:PATELENG,27.5,27.75,-0.9
581,NSE:ENIL,188.55,186.4,1.15
582,NSE:KARMAENG,22.5,23.2,-3.02
583,NSE:A2ZINFRA,4.85,4.65,4.3
584,NSE:SHRIRAMEPC,6.8,7.15,-4.9
585,NSE:REVATHI,661.75,668.4,-0.99
586,NSE:EROSMEDIA,21.25,21.35,-0.47
587,NSE:ESSARSHPNG,11.8,11.15,5.83
588,NSE:ESCORTS,1539.25,1520.95,1.2
589,NSE:ESABINDIA,2464.0,2423.0,1.69
590,NSE:ESTER,154.7,148.3,4.32
591,NSE:IBREALEST,180.25,164.1,9.84
592,NSE:PRESTIGE,457.35,453.55,0.84
593,NSE:KOTAKNIFTY,194.15,192.42,0.9
594,NSE:KOTAKGOLD,41.38,41.78,-0.96
595,NSE:UTISENSETF,649.61,640.48,1.43
596,NSE:GOLDSHARE,41.35,41.7,-0.84
597,NSE:KOTAKBKETF,400.85,396.49,1.1
598,NSE:IDBIGOLD,4370.0,4414.9,-1.02
599,NSE:HDFCMFGETF,42.22,42.56,-0.8
600,NSE:HDFCNIFETF,196.84,194.96,0.96
601,NSE:HDFCSENETF,663.8,652.5,1.73
602,NSE:UTINIFTETF,1935.01,1935.83,-0.04
603,NSE:KOTAKPSUBK,271.11,266.31,1.8
604,NSE:KOTAKNV20,102.15,100.84,1.3
605,NSE:EUROMULTI,1.45,1.4,3.57
606,NSE:EVEREADY,382.95,384.55,-0.42
607,NSE:EVERESTIND,454.8,443.65,2.51
608,NSE:EXIDEIND,187.4,186.0,0.75
609,NSE:HINDOILEXP,198.6,196.55,1.04
610,NSE:EXCELINDUS,1080.1,1066.85,1.24
611,NSE:NORBTEAEXP,7.3,7.3,0.0
612,NSE:NAGREEKEXP,31.85,32.85,-3.04
613,NSE:NUCLEUS,593.1,593.7,-0.1
614,NSE:ORBTEXP,81.65,79.75,2.38
615,NSE:SELAN,164.45,161.1,2.08
616,NSE:RAJESHEXPO,647.5,646.6,0.14
617,NSE:EXCEL,3.2,3.1,3.23
618,NSE:KABRAEXTRU,246.5,249.35,-1.14
619,NSE:SAKUMA,10.5,10.5,0.0
620,NSE:GOKEX,228.05,221.25,3.07
621,NSE:PDSMFL,1389.75,1276.2,8.9
622,NSE:MONTECARLO,392.75,392.05,0.18
623,NSE:SUNDRMFAST,936.55,939.75,-0.34
624,NSE:INDTERRAIN,48.1,47.9,0.42
625,NSE:FLFL,64.1,64.05,0.08
626,NSE:FCSSOFT,1.6,1.55,3.23
627,NSE:FCL,124.9,124.45,0.36
628,NSE:FDC,356.5,354.1,0.68
629,NSE:FMGOETZE,277.45,279.0,-0.56
630,NSE:FEDERALBNK,96.25,93.1,3.38
631,NSE:GSFC,137.05,136.2,0.62
632,NSE:SHREEPUSHK,240.3,238.8,0.63
633,NSE:ROHITFERRO,11.7,11.15,4.93
634,NSE:IMPEXFERRO,1.2,1.2,0.0
635,NSE:CHAMBLFERT,388.55,383.35,1.36
636,NSE:NFL,59.35,59.35,0.0
637,NSE:MADRASFERT,31.35,30.9,1.46
638,NSE:SRTRANSFIN,1413.95,1383.55,2.2
639,NSE:SARLAPOLY,56.2,55.6,1.08
640,NSE:IBULHSGFIN,247.8,237.5,4.34
641,NSE:FSL,216.65,217.6,-0.44
642,NSE:GICHSGFIN,161.55,159.0,1.6
643,NSE:CAMLINFINE,189.3,187.6,0.91
644,NSE:CONSOFINVT,168.85,167.25,0.96
645,NSE:JMFINANCIL,95.8,93.95,1.97
646,NSE:SUNDARMFIN,2465.0,2454.65,0.42
647,NSE:NAHARCAP,296.1,290.4,1.96
648,NSE:GLFL,3.2,2.95,8.47
649,NSE:FILATEX,117.85,115.55,1.99
650,NSE:TCIFINANCE,5.3,5.3,0.0
651,NSE:NAHARPOLY,248.55,242.8,2.37
652,NSE:NITINFIRE,1.2,1.25,-4.0
653,NSE:MOTILALOFS,916.45,906.55,1.09
654,NSE:NAVINFLUOR,3974.95,3934.25,1.03
655,NSE:FLEXITUFF,18.5,17.5,5.71
656,NSE:FMNL,10.55,10.55,0.0
657,NSE:MMFL,921.1,885.35,4.04
658,NSE:FOSECOIND,1481.95,1486.6,-0.31
659,NSE:FORTIS,266.55,274.45,-2.88
660,NSE:ADFFOODS,967.0,958.3,0.91
661,NSE:RKFORGE,1178.45,1163.35,1.3
662,NSE:HERITGFOOD,478.25,473.45,1.01
663,NSE:METALFORGE,5.55,5.4,2.78
664,NSE:PFOCUS,91.65,87.3,4.98
665,NSE:RELAXO,1380.6,1352.1,2.11
666,NSE:HILTON,13.75,13.1,4.96
667,NSE:LGBFORGE,6.85,6.55,4.58
668,NSE:KALYANIFRG,200.9,199.65,0.63
669,NSE:HFCL,81.5,78.95,3.23
670,NSE:UCALFUEL,161.05,161.55,-0.31
671,NSE:IGL,506.0,509.8,-0.75
672,NSE:GABRIEL,155.75,156.25,-0.32
673,NSE:GALLISPAT,53.55,53.05,0.94
674,NSE:GATI,149.0,146.65,1.6
675,NSE:GUJGASLTD,645.5,628.8,2.66
676,NSE:GANDHITUBE,442.0,438.95,0.69
677,NSE:ONGC,163.7,159.05,2.92
678,NSE:INTEGRA,4.5,4.6,-2.17
679,NSE:GANGOTRI,1.15,1.1,4.55
680,NSE:GAYAPROJ,49.55,49.3,0.51
681,NSE:GALLANTT,78.95,80.45,-1.86
682,NSE:GENUSPOWER,87.45,83.4,4.86
683,NSE:LYPSAGEMS,5.4,5.6,-3.57
684,NSE:GENESYS,281.25,293.95,-4.32
685,NSE:SHANTIGEAR,164.05,163.9,0.09
686,NSE:MOTOGENFIN,25.7,25.5,0.78
687,NSE:HITECHGEAR,263.4,258.1,2.05
688,NSE:GHCL,467.35,458.35,1.96
689,NSE:PNBGILTS,69.4,68.45,1.39
690,NSE:GIPCL,98.1,96.25,1.92
691,NSE:GIRRESORTS,119.95,119.95,0.0
692,NSE:GINNIFILA,34.65,34.15,1.46
693,NSE:GISOLUTION,3.95,3.8,3.95
694,NSE:GILLETTE,5874.95,5832.85,0.72
695,NSE:GKWLIMITED,684.2,689.25,-0.73
696,NSE:GLOBUSSPR,1447.6,1454.8,-0.49
697,NSE:GLENMARK,521.05,524.8,-0.71
698,NSE:GLAXO,1489.95,1481.7,0.56
699,NSE:INDIAGLYCO,935.0,931.8,0.34
700,NSE:SGL,16.05,16.65,-3.6
701,NSE:ONMOBILE,123.95,118.15,4.91
702,NSE:HINDNATGLS,36.3,35.8,1.4
703,NSE:GLOBALVECT,58.5,56.4,3.72
704,NSE:HGS,2874.95,2845.05,1.05
705,NSE:PGIL,308.35,311.15,-0.9
706,NSE:GMBREW,824.25,838.85,-1.74
707,NSE:GMDCLTD,77.9,78.05,-0.19
708,NSE:GMRINFRA,43.5,43.4,0.23
709,NSE:GODREJIND,575.3,569.35,1.05
710,NSE:GPIL,1424.5,1356.7,5.0
711,NSE:GODREJCP,1040.75,1038.7,0.2
712,NSE:GOKUL,27.7,27.8,-0.36
713,NSE:GOLDENTOBC,155.1,147.75,4.97
714,NSE:GOCLCORP,358.75,365.85,-1.94
715,NSE:SHIRPUR-G,4.95,5.2,-4.81
716,NSE:GOLDTECH,40.05,42.15,-4.98
717,NSE:GOLDIAM,984.0,958.65,2.64
718,NSE:SETFGOLD,4207.85,4249.5,-0.98
719,NSE:GODREJPROP,2494.9,2502.75,-0.31
720,NSE:GOODLUCK,305.8,305.15,0.21
721,NSE:GODFRYPHLP,1332.0,1329.95,0.15
722,NSE:GPPL,113.0,113.15,-0.13
723,NSE:GULFPETRO,54.75,55.05,-0.54
724,NSE:GREAVESCOT,140.75,140.3,0.32
725,NSE:GRANULES,324.9,328.4,-1.07
726,NSE:GSS,83.6,83.65,-0.06
727,NSE:GTLINFRA,1.75,1.7,2.94
728,NSE:GTL,14.75,14.9,-1.01
729,NSE:GTNTEX,8.25,8.25,0.0
730,NSE:GULFOILLUB,596.3,593.8,0.42
731,NSE:GULPOLY,330.8,315.05,5.0
732,NSE:TIMESGTY,52.95,53.3,-0.66
733,NSE:GVKPIL,2.5,2.6,-3.85
734,NSE:TAJGVK,153.95,147.8,4.16
735,NSE:HARRMALAYA,187.0,187.55,-0.29
736,NSE:HAVELLS,1472.95,1474.1,-0.08
737,NSE:HBLPOWER,58.8,54.7,7.5
738,NSE:HCLTECH,1224.85,1251.15,-2.1
739,NSE:HCG,255.55,255.95,-0.16
740,NSE:HCL-INSYS,14.15,13.95,1.43
741,NSE:HEIDELBERG,258.6,255.35,1.27
742,NSE:HEG,2368.0,2360.25,0.33
743,NSE:HEXATRADEX,173.45,170.8,1.55
744,NSE:HERCULES,148.4,147.8,0.41
745,NSE:TTKHLTCARE,684.45,682.75,0.25
746,NSE:HEROMOTOCO,2933.3,2927.8,0.19
747,NSE:HINDMOTORS,17.3,15.75,9.84
748,NSE:HINDCOMPOS,326.9,323.75,0.97
749,NSE:HINDCOPPER,144.8,132.35,9.41
750,NSE:HIKAL,525.8,522.75,0.58
751,NSE:BAJAJHIND,14.9,14.7,1.36
752,NSE:HINDALCO,550.9,516.1,6.74
753,NSE:HIMATSEIDE,262.3,269.05,-2.51
754,NSE:BAJAJHLDNG,4767.75,4745.65,0.47
755,NSE:HMT,30.6,31.5,-2.86
756,NSE:NH,515.6,514.8,0.16
757,NSE:HSIL,236.3,226.85,4.17
758,NSE:HTMEDIA,26.35,26.2,0.57
759,NSE:INDIANHUME,204.6,203.0,0.79
760,NSE:HUBTOWN,38.15,36.35,4.95
761,NSE:ICRA,3717.95,3575.35,3.99
762,NSE:IDFC,55.3,54.2,2.03
763,NSE:IFCI,14.2,13.9,2.16
764,NSE:IFBIND,1172.8,1168.4,0.38
765,NSE:IGARASHI,575.95,580.75,-0.83
766,NSE:IGPL,881.0,875.95,0.58
767,NSE:IITL,73.05,74.4,-1.81
768,NSE:IIFL,293.9,294.6,-0.24
769,NSE:IL&FSENGG,4.75,4.8,-1.04
770,NSE:IVC,6.3,6.0,5.0
771,NSE:IL&FSTRANS,3.85,3.95,-2.53
772,NSE:INDLMETER,13.4,12.85,4.28
773,NSE:IOB,23.05,22.7,1.54
774,NSE:IOC,137.65,134.4,2.42
775,NSE:IPCALAB,2437.3,2422.2,0.62
776,NSE:SUNFLAG,86.3,83.6,3.23
777,NSE:ISMTLTD,36.5,34.8,4.89
778,NSE:ISFT,148.5,150.6,-1.39
779,NSE:SMLISUZU,622.4,612.45,1.62
780,NSE:SATHAISPAT,3.25,3.25,0.0
781,NSE:ITC,262.25,256.55,2.22
782,NSE:ITI,127.7,128.0,-0.23
783,NSE:PILITA,7.4,7.4,0.0
784,NSE:IVP,118.0,114.0,3.51
785,NSE:IZMO,96.3,96.75,-0.47
786,NSE:JAGSNPHARM,163.75,151.0,8.44
787,NSE:JAINSTUDIO,2.3,2.2,4.55
788,NSE:JAYNECOIND,26.6,25.9,2.7
789,NSE:JAYSREETEA,110.8,110.4,0.36
790,NSE:JPINFRATEC,2.25,2.3,-2.17
791,NSE:JBCHEPHARM,1759.4,1799.85,-2.25
792,NSE:JBMA,629.45,631.95,-0.4
793,NSE:THANGAMAYL,1398.0,1356.3,3.07
794,NSE:JHS,26.3,26.65,-1.31
795,NSE:JSLHISAR,328.65,319.65,2.82
796,NSE:JIKIND,0.55,0.5,10.0
797,NSE:JINDALSTEL,460.5,446.5,3.14
798,NSE:JINDALPOLY,1074.0,1019.7,5.33
799,NSE:JSL,181.05,172.05,5.23
800,NSE:JMTAUTOLTD,3.15,3.15,0.0
801,NSE:JMCPROJECT,115.0,113.7,1.14
802,NSE:JOCIL,230.0,229.7,0.13
803,NSE:JYOTISTRUC,19.55,18.65,4.83
804,NSE:KAMDHENU,260.05,246.15,5.65
805,NSE:KALPATPOWR,445.5,443.45,0.46
806,NSE:KANANIIND,9.2,9.05,1.66
807,NSE:KAMATHOTEL,64.1,63.1,1.58
808,NSE:KARURVYSYA,50.65,49.25,2.84
809,NSE:KAYA,558.0,550.15,1.43
810,NSE:KTKBANK,71.95,71.35,0.84
811,NSE:PKTEA,325.0,327.65,-0.81
812,NSE:KANORICHEM,197.95,194.6,1.72
813,NSE:KICL,2118.1,2135.9,-0.83
814,NSE:KAVVERITEL,8.6,8.2,4.88
815,NSE:KCP,144.45,142.55,1.33
816,NSE:KDDL,512.4,517.9,-1.06
817,NSE:KEI,998.9,939.7,6.3
818,NSE:KERNEX,82.95,82.6,0.42
819,NSE:KELLTONTEC,52.25,51.6,1.26
820,NSE:KESORAMIND,70.05,70.85,-1.13
821,NSE:SHK,156.45,155.25,0.77
822,NSE:RADICO,1130.85,1095.3,3.25
823,NSE:KHANDSE,17.25,17.2,0.29
824,NSE:KHAITANLTD,38.0,37.25,2.01
825,NSE:KIRIINDUS,529.7,533.8,-0.77
826,NSE:KIRLOSIND,1630.0,1619.9,0.62
827,NSE:KMSUGAR,27.3,27.35,-0.18
828,NSE:KOTHARIPET,52.15,52.4,-0.48
829,NSE:KOKUYOCMLN,68.65,68.2,0.66
830,NSE:KOLTEPATIL,324.9,326.1,-0.37
831,NSE:KRBL,323.1,320.85,0.7
832,NSE:KRIDHANINF,5.3,5.15,2.91
833,NSE:KWALITY,2.2,2.2,0.0
834,NSE:LT,1796.65,1789.3,0.41
835,NSE:MOREPENLAB,54.55,54.7,-0.27
836,NSE:LYKALABS,81.5,79.0,3.16
837,NSE:UNICHEMLAB,261.5,264.25,-1.04
838,NSE:LAKPRE,4.6,4.65,-1.08
839,NSE:LAMBODHARA,87.45,87.45,0.0
840,NSE:VIVIMEDLAB,21.35,21.55,-0.93
841,NSE:INDSWFTLAB,63.05,63.1,-0.08
842,NSE:NEULANDLAB,1732.25,1823.4,-5.0
843,NSE:LAXMIMACH,9160.5,9032.8,1.41
844,NSE:PENINLAND,12.1,12.1,0.0
845,NSE:CAPLIPOINT,912.7,907.8,0.54
846,NSE:LFIC,80.5,79.75,0.94
847,NSE:LCCINFOTEC,1.85,1.9,-2.63
848,NSE:INOXLEISUR,417.05,415.4,0.4
849,NSE:LGBBROSLTD,514.0,494.3,3.99
850,NSE:SUVEN,115.3,117.3,-1.71
851,NSE:SONATSOFTW,934.3,934.5,-0.02
852,NSE:RPGLIFE,656.0,669.6,-2.03
853,NSE:MOTHERSUMI,243.15,246.55,-1.38
854,NSE:MCLEODRUSS,30.4,29.6,2.7
855,NSE:COUNCODOS,3.5,3.6,-2.78
856,NSE:COROMANDEL,872.4,863.2,1.07
857,NSE:MOIL,172.55,168.9,2.16
858,NSE:SYMPHONY,1083.8,1072.4,1.06
859,NSE:NECLIFE,30.65,30.4,0.82
860,NSE:PHOENIXLTD,985.0,977.65,0.75
861,NSE:MAJESCO,92.0,91.45,0.6
862,NSE:MANGTIMBER,17.6,17.75,-0.85
863,NSE:BANCOINDIA,194.35,195.5,-0.59
864,NSE:UPL,755.0,747.85,0.96
865,NSE:INDUSINDBK,1223.0,1210.0,1.07
866,NSE:GRAVITA,207.5,206.4,0.53
867,NSE:CASTEXTECH,0.8,0.75,6.67
868,NSE:PUNJLLOYD,1.9,1.85,2.7
869,NSE:PETRONET,235.65,230.5,2.23
870,NSE:SICAL,21.6,19.65,9.92
871,NSE:PATINTLOG,22.95,22.75,0.88
872,NSE:SHREYAS,387.95,391.65,-0.94
873,NSE:LOVABLE,134.5,134.8,-0.22
874,NSE:LOKESHMACH,52.1,52.35,-0.48
875,NSE:SNOWMAN,43.9,42.9,2.33
876,NSE:VRLLOG,396.5,385.05,2.97
877,NSE:SAKHTISUG,15.3,15.85,-3.47
878,NSE:PRIMESECU,121.85,116.05,5.0
879,NSE:INFOMEDIA,4.25,4.05,4.94
880,NSE:TVSMOTOR,582.1,583.8,-0.29
881,NSE:TTML,55.65,53.0,5.0
882,NSE:TRF,160.1,158.8,0.82
883,NSE:TITAN,2656.0,2564.05,3.59
884,NSE:TIJARIA,7.2,7.25,-0.69
885,NSE:TI,48.4,46.1,4.99
886,NSE:THERMAX,1410.2,1387.7,1.62
887,NSE:TATAMTRDVR,266.1,247.65,7.45
888,NSE:TATACOMM,1487.25,1440.0,3.28
889,NSE:TAKE,51.6,51.65,-0.1
890,NSE:SURANASOL,24.45,23.3,4.94
891,NSE:LUXIND,3812.05,3755.15,1.52
892,NSE:LUMAXIND,1449.95,1455.45,-0.38
893,NSE:MTNL,20.0,19.85,0.76
894,NSE:MASTEK,3293.75,3225.85,2.1
895,NSE:MARKSANS,69.65,70.0,-0.5
896,NSE:MALUPAPER,36.65,36.7,-0.14
897,NSE:MANINDS,115.05,113.0,1.81
898,NSE:MARICO,583.05,579.3,0.65
899,NSE:M&MFIN,187.8,185.2,1.4
900,NSE:MANAKSTEEL,33.1,31.75,4.25
901,NSE:MANINFRA,111.9,110.05,1.68
902,NSE:MBLINFRA,22.5,22.05,2.04
903,NSE:MCDHOLDING,84.15,80.15,4.99
904,NSE:SAMBHAAV,3.0,2.9,3.45
905,NSE:RADAAN,1.45,1.45,0.0
906,NSE:PRECOT,251.8,253.7,-0.75
907,NSE:POLYMED,961.6,992.55,-3.12
908,NSE:MEP,26.8,26.9,-0.37
909,NSE:SHILPAMED,625.55,638.95,-2.1
910,NSE:MELSTAR,3.65,3.55,2.82
911,NSE:RATNAMANI,2211.35,2211.35,0.0
912,NSE:INDRAMEDCO,79.95,80.05,-0.12
913,NSE:MFSL,999.9,988.25,1.18
914,NSE:MHRIL,247.75,242.8,2.04
915,NSE:MIRZAINT,65.3,64.2,1.71
916,NSE:20MICRONS,63.1,62.35,1.2
917,NSE:MINDACORP,134.25,133.25,0.75
918,NSE:SARDAEN,833.0,770.25,8.15
919,NSE:MMTC,48.2,47.1,2.34
920,NSE:MORARJEE,18.9,19.3,-2.07
921,NSE:MOHITIND,12.35,12.35,0.0
922,NSE:MOLDTKPAC,708.55,730.05,-2.95
923,NSE:SHARDAMOTR,670.0,691.35,-3.09
924,NSE:SANGHVIMOV,201.05,203.5,-1.2
925,NSE:MPHASIS,3370.35,3266.6,3.18
926,NSE:MPSLTD,684.25,691.6,-1.06
927,NSE:MRO-TEK,67.4,64.2,4.98
928,NSE:MSPL,9.9,9.9,0.0
929,NSE:SHREERAMA,14.05,13.85,1.44
930,NSE:SUNDARAM,2.0,2.0,0.0
931,NSE:3RDROCK,64.6,64.6,0.0
932,NSE:MUKANDLTD,144.0,141.95,1.44
933,NSE:MUNJALSHOW,139.05,137.65,1.02
934,NSE:MUTHOOTCAP,406.05,406.95,-0.22
935,NSE:MUKANDENGG,26.25,26.25,0.0
936,NSE:NAVKARCORP,43.05,42.7,0.82
937,NSE:NATCOPHARM,891.1,889.85,0.14
938,NSE:NSIL,1866.0,1805.05,3.38
939,NSE:NAHARSPING,454.75,433.1,5.0
940,NSE:NAGREEKCAP,7.85,7.95,-1.26
941,NSE:PNB,44.75,42.55,5.17
942,NSE:NAHARINDUS,116.5,113.95,2.24
943,NSE:TNPL,140.5,141.25,-0.53
944,NSE:NCC,83.3,81.5,2.21
945,NSE:NDTV,82.7,82.55,0.18
946,NSE:SUNTV,556.1,554.45,0.3
947,NSE:NESCO,674.05,667.0,1.06
948,NSE:RAJTV,36.45,36.05,1.11
949,NSE:NETWORK18,88.7,78.75,12.63
950,NSE:NESTLEIND,19379.15,19325.4,0.28
951,NSE:NEXTMEDIA,6.0,5.85,2.56
952,NSE:TVTODAY,297.05,289.2,2.71
953,NSE:DEN,54.3,53.3,1.88
954,NSE:SMARTLINK,115.0,114.45,0.48
955,NSE:SETFNN50,466.3,461.68,1.0
956,NSE:SETFNIF50,188.21,186.5,0.92
957,NSE:NITINSPIN,229.4,218.5,4.99
958,NSE:DEEPAKNTR,2915.1,2897.8,0.6
959,NSE:NIPPOBATRY,1030.0,1036.0,-0.58
960,NSE:NILAINFRA,6.65,6.95,-4.32
961,NSE:NILKAMAL,2689.8,2677.55,0.46
962,NSE:SETFNIFBK,396.65,392.28,1.11
963,NSE:NITCO,25.5,25.5,0.0
964,NSE:TECHIN,6.45,6.65,-3.01
965,NSE:NKIND,42.7,41.3,3.39
966,NSE:GRINDWELL,1564.65,1466.95,6.66
967,NSE:DENORA,341.8,339.15,0.78
968,NSE:OCCL,1075.0,1077.95,-0.27
969,NSE:SCI,143.2,142.0,0.85
970,NSE:TINPLATE,339.6,333.35,1.87
971,NSE:STCINDIA,112.65,109.7,2.69
972,NSE:SAIL,128.8,124.2,3.7
973,NSE:BANKBARODA,91.45,88.75,3.04
974,NSE:TFCILTD,74.0,73.1,1.23
975,NSE:OILCOUNTUB,10.6,11.15,-4.93
976,NSE:SOTL,1506.9,1494.95,0.8
977,NSE:OMKARCHEM,25.95,24.75,4.85
978,NSE:ORIENTALTL,9.1,9.05,0.55
979,NSE:ORIENTLTD,75.0,73.85,1.56
980,NSE:ORIENTPPR,34.7,33.75,2.81
981,NSE:ORTEL,1.35,1.35,0.0
982,NSE:ORICONENT,29.2,29.3,-0.34
983,NSE:ORISSAMINE,2893.0,2856.35,1.28
984,NSE:GREENPOWER,4.9,4.7,4.26
985,NSE:VINATIORGA,2053.9,2077.75,-1.15
986,NSE:ORIENTHOT,41.25,39.0,5.77
987,NSE:MARALOVER,82.8,85.75,-3.44
988,NSE:PRADIP,1.15,1.1,4.55
989,NSE:PAGEIND,38097.5,37370.3,1.95
990,NSE:PARSVNATH,16.2,16.35,-0.92
991,NSE:PATSPINLTD,9.25,9.4,-1.6
992,NSE:SHALPAINTS,96.65,97.05,-0.41
993,NSE:PARACABLES,13.4,13.5,-0.74
994,NSE:PANAMAPET,276.0,274.55,0.53
995,NSE:STARPAPER,150.95,150.8,0.1
996,NSE:PBAINFRA,11.5,11.65,-1.29
997,NSE:PDMJEPAPER,44.2,43.3,2.08
998,NSE:SPIC,51.85,51.75,0.19
999,NSE:LINCPEN,248.1,247.15,0.38
1000,NSE:PEARLPOLY,16.0,15.75,1.59
1001,NSE:PENIND,31.5,29.8,5.7
1002,NSE:SUPPETRO,768.95,744.35,3.3
1003,NSE:CHENNPETRO,138.65,134.0,3.47
1004,NSE:PERSISTENT,4159.65,4212.0,-1.24
1005,NSE:TNPETRO,131.5,132.0,-0.38
1006,NSE:MANALIPETC,125.9,125.75,0.12
1007,NSE:PFIZER,5523.45,5537.6,-0.26
1008,NSE:SMSPHARMA,148.0,148.75,-0.5
1009,NSE:TORNTPHARM,3100.25,3130.4,-0.96
1010,NSE:BALPHARMA,105.0,104.15,0.82
1011,NSE:LINCOLN,382.0,380.3,0.45
1012,NSE:PIIND,3340.5,3314.25,0.79
1013,NSE:PILANIINVS,2015.0,2012.05,0.15
1014,NSE:SRIPIPES,212.35,209.95,1.14
1015,NSE:PIDILITIND,2488.5,2481.1,0.3
1016,NSE:TEXMOPIPES,52.2,52.15,0.1
1017,NSE:PLASTIBLEN,268.45,270.65,-0.81
1018,NSE:PNCINFRA,374.8,377.5,-0.72
1019,NSE:PONNIERODE,246.0,242.15,1.59
1020,NSE:PREMIERPOL,71.95,68.7,4.73
1021,NSE:POLYPLEX,1923.4,1834.95,4.82
1022,NSE:HONDAPOWER,1406.2,1398.35,0.56
1023,NSE:RPOWER,16.95,16.15,4.95
1024,NSE:VARDMNPOLY,23.05,23.3,-1.07
1025,NSE:TORNTPOWER,521.7,515.4,1.22
1026,NSE:RTNPOWER,4.45,4.4,1.14
1027,NSE:SEPOWER,11.65,11.1,4.95
1028,NSE:POWERMECH,1075.0,1038.05,3.56
1029,NSE:VIVIDHA,0.75,0.75,0.0
1030,NSE:SPYL,0.75,0.75,0.0
1031,NSE:CAREERP,158.35,156.15,1.41
1032,NSE:TATAPOWER,255.95,222.6,14.98
1033,NSE:TDPOWERSYS,372.25,340.65,9.28
1034,NSE:PREMIER,4.05,3.9,3.85
1035,NSE:PURVA,141.0,136.9,2.99
1036,NSE:TTKPRESTIG,8860.0,8805.4,0.62
1037,NSE:PRAKASHSTL,2.45,2.25,8.89
1038,NSE:PSB,19.25,18.55,3.77
1039,NSE:PTC,135.0,133.4,1.2
1040,NSE:PTL,51.0,49.85,2.31
1041,NSE:SHAKTIPUMP,824.0,800.5,2.94
1042,NSE:PVR,1735.0,1713.8,1.24
1043,NSE:PVP,6.1,5.85,4.27
1044,NSE:RANASUG,28.9,28.45,1.58
1045,NSE:RAMKY,157.2,158.9,-1.07
1046,NSE:RAJVIR,8.5,8.1,4.94
1047,NSE:INGERRAND,1186.4,1175.0,0.97
1048,NSE:RAMASTEEL,274.05,279.7,-2.02
1049,NSE:RAJRAYON,0.45,0.45,0.0
1050,NSE:RAYMOND,463.3,461.75,0.34
1051,NSE:RAMSARUP,1.3,1.35,-3.7
1052,NSE:INDORAMA,52.7,52.15,1.05
1053,NSE:RALLIS,320.5,313.75,2.15
1054,NSE:RAMCOIND,303.25,298.15,1.71
1055,NSE:RANEENGINE,300.9,298.1,0.94
1056,NSE:SRHHYPOLTD,354.35,354.7,-0.1
1057,NSE:RANEHOLDIN,599.6,597.5,0.35
1058,NSE:RML,411.9,411.35,0.13
1059,NSE:RAIN,243.7,239.7,1.67
1060,NSE:RAMCOSYS,478.55,472.05,1.38
1061,NSE:RMCL,2.05,2.1,-2.38
1062,NSE:RCOM,3.2,3.15,1.59
1063,NSE:RIIL,743.3,736.5,0.92
1064,NSE:REDINGTON,155.05,153.25,1.17
