Symbol,Company Name,Price,PrevDayClose,ChangeInPercentage,volumn
NSE:MGL,Mahanagar Gas Limited,1071.85,1067.05,0.45,413124
NSE:CUB,City Union Bank Limited,172.1,171.35,0.44,2028960
NSE:METROPOLIS,Metropolis Healthcare Limited,2714.75,2642.85,2.72,223753
NSE:INDIGOPNTS,Indigo Paints Limited,2497.45,2508,-0.42,15838
NSE:CHOLAHLDNG,Cholamandalam Financial Holdings Limited,713.4,723.35,-1.38,25217
NSE:BAJAJELEC,Bajaj Electricals Limited,1296.95,1274.95,1.73,293532
NSE:AMBER,Amber Enterprises India Limited,3671.95,3651.7,0.55,33607
NSE:SKFINDIA,SKF India Limited,3270.1,3280.85,-0.33,24862
NSE:TANLA,Tanla Platforms Limited,948.9,922.45,2.87,191510
NSE:HINDCOPPER,Hindustan Copper Limited,149.65,132.35,13.07,29608323
NSE:UCOBANK,UCO Bank,14.65,14.3,2.45,13774116
NSE:IIFLWAM,Iifl Wealth Management Limited,1700,1649.35,3.07,92901
NSE:JUBLPHARMA,Jubilant Pharmova Limited,636.55,625.15,1.82,171346
NSE:VGUARD,V-Guard Industries Limited,262.55,262.9,-0.13,247865
NSE:ITI,ITI Limited,126.8,128,-0.98,784004
NSE:IIFL,IIFL Finance Limited,294,294.6,-0.2,256923
NSE:KEC,KEC International Limited,458.95,459.7,-0.16,131828
NSE:GRINDWELL,Grindwell Norton Limited,1570.75,1466.95,7.08,219008
NSE:AEGISCHEM,Aegis Logistics Limited,227.65,227.2,0.2,407180
NSE:AKZOINDIA,Akzo Nobel India Limited,2199.35,2221.15,-0.98,17386
NSE:CREDITACC,CREDITACCESS GRAMEEN LIMITED,676,673.4,0.39,304263
NSE:QUESS,Quess Corp Limited,926.95,926.7,0.03,56767
NSE:PGHL,Procter & Gamble Health Limited,5569.8,5636.9,-1.19,10523
NSE:SJVN,SJVN Limited,32.15,28.35,13.58,35533542
NSE:NATIONALUM,National Aluminium Company Limited,122.95,107.6,14.27,161211078
NSE:GODREJAGRO,Godrej Agrovet Limited,635.8,637.2,-0.22,66331
NSE:TTKPRESTIG,TTK Prestige Limited,8820.4,8805.4,0.17,4414
NSE:ALOKINDS,Alok Industries Limited,27.05,26.1,3.64,27770785
NSE:GRAPHITE,Graphite India Limited,620.45,602,3.06,1308682
