,Symbol,Company Name,Price,PrevDayClose,ChangeInPercentage,volumn
70,NSE:TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,846.5,849.6,-0.36,1479613.0
71,NSE:HEROMOTOCO,Hero MotoCorp Limited,2920.9,2927.8,-0.24,313685.0
72,NSE:NAUKRI,Info Edge (India) Limited,7003.1,7008.85,-0.08,185351.0
73,NSE:BANDHANBNK,Bandhan Bank Limited,332.0,323.4,2.66,4590912.0
74,NSE:MARICO,Marico Limited,579.9,579.3,0.1,1666806.0
75,NSE:AUROPHARMA,Aurobindo Pharma Limited,721.75,727.15,-0.74,1390972.0
76,NSE:BIOCON,Biocon Limited,343.1,347.65,-1.31,2454080.0
77,NSE:UPL,UPL Limited,751.75,747.85,0.52,2162718.0
78,NSE:MUTHOOTFIN,Muthoot Finance Limited,1562.55,1552.6,0.64,447765.0
79,NSE:LUPIN,Lupin Limited,940.25,946.45,-0.66,1277898.0
80,NSE:CHOLAFIN,Cholamandalam Investment and Finance Company Limited,603.65,594.0,1.62,2424019.0
81,NSE:CADILAHC,Cadila Healthcare Limited,535.05,544.1,-1.66,1135571.0
82,NSE:TORNTPHARM,Torrent Pharmaceuticals Limited,3105.9,3130.4,-0.78,63785.0
83,NSE:COLPAL,Colgate Palmolive (India) Limited,1670.0,1681.2,-0.67,195096.0
84,NSE:HONAUT,Honeywell Automation India Limited,43500.0,44648.7,-2.57,2822.0
85,NSE:APOLLOHOSP,Apollo Hospitals Enterprise Limited,4349.0,4328.4,0.48,283237.0
86,NSE:BOSCHLTD,Bosch Limited,17655.0,17863.85,-1.17,21649.0
87,NSE:IDBI,IDBI Bank Limited,60.15,62.5,-3.76,41027560.0
88,NSE:PGHH,Procter & Gamble Hygiene and Health Care Limited,14020.6,13789.3,1.68,5613.0
89,NSE:GLAND,Gland Pharma Limited,3767.4,3780.5,-0.35,59750.0
90,NSE:MCDOWELL-N,United Spirits Limited,883.75,888.6,-0.55,1328429.0
91,NSE:NMDC,NMDC Limited,158.7,153.55,3.35,19313787.0
92,NSE:PEL,Piramal Enterprises Limited,2837.3,2835.75,0.05,385383.0
93,NSE:GODREJPROP,Godrej Properties Limited,2524.3,2502.75,0.86,1032069.0
94,NSE:YESBANK,Yes Bank Limited,14.0,13.2,6.06,291584646.0
95,NSE:JUBLFOOD,Jubilant Foodworks Limited,4369.5,4409.6,-0.91,443568.0
96,NSE:PNB,Punjab National Bank,46.45,42.55,9.17,356337805.0
97,NSE:AUBANK,AU Small Finance Bank Limited,1221.05,1192.7,2.38,949695.0
98,NSE:BANKBARODA,Bank of Baroda,92.4,88.75,4.11,82348051.0
99,NSE:GUJGASLTD,Gujarat Gas Limited,656.25,628.8,4.37,2814749.0
100,NSE:BAJAJHLDNG,Bajaj Holdings & Investment Limited,4769.15,4745.65,0.5,21487.0
101,NSE:CONCOR,Container Corporation of India Limited,684.85,677.35,1.11,1049060.0
102,NSE:SRTRANSFIN,Shriram Transport Finance Company Limited,1400.9,1383.55,1.25,957775.0
103,NSE:IGL,Indraprastha Gas Limited,507.95,509.8,-0.36,2830164.0
104,NSE:ACC,ACC Limited,2330.0,2309.85,0.87,509702.0
105,NSE:JINDALSTEL,Jindal Steel & Power Limited,457.0,446.5,2.35,9170648.0
106,NSE:GICRE,General Insurance Corporation of India,147.0,148.0,-0.68,693344.0
107,NSE:MRF,MRF Limited,84478.7,85166.45,-0.81,17863.0
108,NSE:HINDPETRO,Hindustan Petroleum Corporation Limited,334.2,331.35,0.86,3017019.0
109,NSE:MINDTREE,MindTree Limited,4702.5,4691.2,0.24,1029763.0
110,NSE:3MINDIA,3M India Limited,25919.0,26013.1,-0.36,1953.0
111,NSE:PIIND,PI Industries Limited,3349.4,3314.25,1.06,293572.0
112,NSE:PAGEIND,Page Industries Limited,37432.5,37370.3,0.17,18065.0
113,NSE:PETRONET,Petronet LNG Limited,234.85,230.5,1.89,3809480.0
114,NSE:ASHOKLEY,Ashok Leyland Limited,144.45,144.75,-0.21,26031270.0
115,NSE:HAL,Hindustan Aeronautics Limited,1485.6,1443.75,2.9,3402799.0
116,NSE:MPHASIS,MphasiS Limited,3373.85,3266.6,3.28,961824.0
117,NSE:VOLTAS,Voltas Limited,1336.6,1324.9,0.88,889598.0
118,NSE:ALKEM,Alkem Laboratories Limited,3862.85,3892.7,-0.77,122298.0
119,NSE:TATAPOWER,Tata Power Company Limited,257.25,222.6,15.57,242615905.0
120,NSE:UBL,United Breweries Limited,1677.7,1709.35,-1.85,308339.0
121,NSE:ADANIPOWER,Adani Power Limited,123.2,112.0,10.0,7705626.0
122,NSE:BALKRISIND,Balkrishna Industries Limited,2628.1,2596.0,1.24,213266.0
123,NSE:SAIL,Steel Authority of India Limited,130.25,124.2,4.87,88343626.0
124,NSE:ASTRAL,Astral Poly Technik Limited,2383.9,2338.3,1.95,393608.0
125,NSE:KANSAINER,Kansai Nerolac Paints Limited,607.05,607.2,-0.02,248058.0
126,NSE:SRF,SRF Limited,2339.2,2410.9,-2.97,800038.0
127,NSE:IDFCFIRSTB,IDFC First Bank Limited,51.5,49.4,4.25,49816606.0
128,NSE:BEL,Bharat Electronics Limited,218.05,210.55,3.56,11385137.0
129,NSE:TATACOMM,Tata Communications Limited,1462.75,1440.0,1.58,540146.0
130,NSE:PFC,Power Finance Corporation Limited,151.4,148.95,1.64,12262687.0
131,NSE:IRFC,Indian Railway Finance Corporation Limited,24.4,23.6,3.39,29846008.0
132,NSE:ABB,ABB India Limited,1834.1,1819.0,0.83,75334.0
133,NSE:DALBHARAT,Dalmia Bharat Limited,2092.55,2062.85,1.44,414682.0
134,NSE:MFSL,Max Financial Services Limited,1003.5,988.25,1.54,395865.0
135,NSE:VBL,Varun Beverages Limited,901.0,898.05,0.33,320715.0
136,NSE:ABCAPITAL,Aditya Birla Capital Limited,107.3,107.6,-0.28,1838364.0
137,NSE:SUNDARMFIN,Sundaram Finance Limited,2464.55,2454.65,0.4,28230.0
138,NSE:WHIRLPOOL,Whirlpool of India Limited,2436.0,2445.65,-0.39,64534.0
139,NSE:IRCTC,Indian Railway Catering And Tourism Corporation Limited,5721.0,5463.55,4.71,5117555.0
140,NSE:LTTS,L&T Technology Services Limited,4845.0,4817.05,0.58,260383.0
141,NSE:TVSMOTOR,TVS Motor Company Limited,588.5,583.8,0.81,1418140.0
142,NSE:BHARATFORG,Bharat Forge Limited,799.0,801.0,-0.25,1390256.0
143,NSE:OFSS,Oracle Financial Services Software Limited,4733.0,4777.7,-0.94,74976.0
144,NSE:TRENT,Trent Limited,1160.2,1154.45,0.5,452463.0
145,NSE:IDEA,Vodafone Idea Limited,10.65,10.75,-0.93,97666526.0
146,NSE:IOB,Indian Overseas Bank,22.95,22.7,1.1,8767531.0
147,NSE:SUPREMEIND,Supreme Industries Limited,2625.5,2578.2,1.83,57599.0
148,NSE:RECLTD,REC Limited,165.65,164.75,0.55,6862416.0
149,NSE:CUMMINSIND,Cummins India Limited,916.65,903.15,1.49,987607.0
150,NSE:NIACL,The New India Assurance Company Limited,164.55,163.9,0.4,284335.0
151,NSE:CANBK,Canara Bank,201.85,193.55,4.29,31010676.0
152,NSE:CROMPTON,Crompton Greaves Consumer Electricals Limited,472.75,474.6,-0.39,749038.0
153,NSE:M&MFIN,Mahindra & Mahindra Financial Services Limited,186.7,185.2,0.81,2115162.0
154,NSE:NHPC,NHPC Limited,36.4,30.9,17.8,59953449.0
155,NSE:GLAXO,GlaxoSmithKline Pharmaceuticals Limited,1475.0,1481.7,-0.45,30328.0
156,NSE:IPCALAB,IPCA Laboratories Limited,2433.25,2422.2,0.46,148929.0
157,NSE:L&TFH,L&T Finance Holdings Limited,94.05,94.35,-0.32,10223987.0
158,NSE:RAMCOCEM,The Ramco Cements Limited,1022.75,994.4,2.85,310588.0
159,NSE:INDIAMART,Indiamart Intermesh Limited,9280.0,9428.9,-1.58,144966.0
160,NSE:TIINDIA,Tube Investments of India Limited,1384.65,1362.95,1.59,33503.0
161,NSE:AARTIIND,Aarti Industries Limited,1157.05,1107.45,4.48,1435014.0
162,NSE:COROMANDEL,Coromandel International Limited,855.7,863.2,-0.87,209059.0
163,NSE:DEEPAKNTR,Deepak Nitrite Limited,2860.85,2897.8,-1.28,692480.0
164,NSE:LALPATHLAB,Dr. Lal Path Labs Ltd.,3611.75,3683.3,-1.94,136513.0
165,NSE:JKCEMENT,JK Cement Limited,3445.0,3456.0,-0.32,64438.0
166,NSE:BANKINDIA,Bank of India,61.95,59.85,3.51,18321053.0
167,NSE:UNIONBANK,Union Bank of India,47.6,44.8,6.25,41823629.0
168,NSE:RELAXO,Relaxo Footwears Limited,1358.9,1352.1,0.5,200365.0
169,NSE:SYNGENE,Syngene International Limited,614.55,612.75,0.29,236074.0
170,NSE:LICHSGFIN,LIC Housing Finance Limited,453.0,443.3,2.19,4851180.0
171,NSE:EMAMILTD,Emami Limited,549.15,550.25,-0.2,881785.0
172,NSE:DIXON,Dixon Technologies (India) Limited,5746.2,5511.3,4.26,603277.0
173,NSE:ATUL,Atul Limited,10660.0,10499.55,1.53,13398.0
174,NSE:OBEROIRLTY,Oberoi Realty Limited,971.7,956.35,1.61,919029.0
175,NSE:NAM-INDIA,Nippon Life India Asset Management Limited,457.9,449.1,1.96,1132495.0
176,NSE:PFIZER,Pfizer Limited,5513.45,5537.6,-0.44,19596.0
177,NSE:POLYCAB,Polycab India Limited,2494.25,2563.15,-2.69,771974.0
178,NSE:ENDURANCE,Endurance Technologies Limited,1824.5,1839.4,-0.81,92747.0
179,NSE:TORNTPOWER,Torrent Power Limited,523.05,515.4,1.48,953634.0
180,NSE:MAXHEALTH,Max Healthcare Institute Limited,344.45,350.45,-1.71,958956.0
181,NSE:ZEEL,Zee Entertainment Enterprises Limited,311.7,319.85,-2.55,16038343.0
182,NSE:LAURUSLABS,Laurus Labs Limited,658.35,651.0,1.13,3180575.0
183,NSE:AIAENG,AIA Engineering Limited,1916.45,1887.2,1.55,61101.0
184,NSE:GILLETTE,Gillette India Limited,5830.0,5832.85,-0.05,4936.0
185,NSE:TATACHEM,Tata Chemicals Limited,1101.6,1084.05,1.62,6085042.0
186,NSE:AAVAS,Aavas Financiers Limited,2913.85,2868.45,1.58,43178.0
187,NSE:RUCHI,Ruchi Soya Industries Limited,1028.55,1041.85,-1.28,35049.0
188,NSE:APLLTD,Alembic Pharmaceuticals Limited,809.8,806.6,0.4,216516.0
189,NSE:SUNTV,Sun TV Network Limited,550.5,554.45,-0.71,2171813.0
190,NSE:GODREJIND,Godrej Industries Limited,578.7,569.35,1.64,100707.0
191,NSE:SANOFI,Sanofi India Limited,8247.95,8161.65,1.06,10497.0
192,NSE:BATAINDIA,Bata India Limited,2137.95,2118.15,0.93,549398.0
193,NSE:COFORGE,Coforge Limited,5618.65,5604.1,0.26,231967.0
194,NSE:APLAPOLLO,APL Apollo Tubes Limited,861.55,850.65,1.28,611508.0
195,NSE:ESCORTS,Escorts Limited,1555.0,1520.95,2.24,1103114.0
196,NSE:ABFRL,Aditya Birla Fashion and Retail Limited,269.35,264.25,1.93,3813983.0
