,Symbol,Price,Company name
924,NSE:MANGLMCEM,446.0,Mangalam Cement Limited
926,NSE:CEREBRAINT,54.2,Cerebra Integrated Technologies Limited
927,NSE:SOMANYCERA,839.95,Somany Ceramics Limited
930,NSE:SHREECEM,28086.65,Shree Cement Limited
931,NSE:KAKATCEM,256.7,Kakatiya Cement Sugar and Industries Limited
933,NSE:GSCLCEMENT,52.1,Gujarat Sidhee Cement Limited
934,NSE:CENTURYPLY,551.5,Century Plyboards (India) Limited
935,NSE:ORIENTCEM,163.9,Orient Cement Limited
939,NSE:MURUDCERA,28.0,Murudeshwar Ceramics Limited
942,NSE:CENTRALBK,23.55,Central Bank of India
943,NSE:REGENCERAM,1.85,Regency Ceramics Limited
944,NSE:SHYAMCENT,14.4,SHYAM CENTURY FERR INR1
945,NSE:CENTURYTEX,950.5,Century Textiles and Industries Limited
949,NSE:JKLAKSHMI,628.5,JK Lakshmi Cement Limited
950,NSE:CELEBRITY,10.55,Celebrity Fashions Limited
951,NSE:DECCANCE,780.2,Deccan Cements Limited
952,NSE:CENTUM,562.0,Centum Electronics Limited
953,NSE:CENTENKA,463.8,Century Enka Limited
955,NSE:INDIACEM,223.3,The India Cements Limited
956,NSE:KAJARIACER,1310.55,Kajaria Ceramics Limited
958,NSE:CGCL,520.2,Capri Global Capital Limited
959,NSE:SUDARSCHEM,668.6,Sudarshan Chemical Industries Limited
960,NSE:CLNINDIA,608.0,Clariant Chemicals (India) Limited
961,NSE:CHROMATIC,0.9,Chromatic India Limited
962,NSE:RAJSREESUG,27.5,Rajshree Sugars and Chemicals Limited
966,NSE:TIRUMALCHM,282.0,Thirumalai Chemicals Limited
973,NSE:CIPLA,905.8,Cipla Limited
974,NSE:CIGNITITEC,613.0,CIGNITI TECHNOLOGI INR10
976,NSE:CINEVISTA,15.9,Cinevista Limited
977,NSE:MAHINDCIE,271.95,Mahindra CIE Automotive Limited
979,NSE:OPTOCIRCUI,3.35,Opto Circuits (India) Ltd
981,NSE:CINELINE,129.85,Cineline India Limited
982,NSE:SHRIRAMCIT,2233.45,Shriram City Union Finance Limited
990,NSE:INDIANCARD,179.9,The Indian Card Clothing Company Limited
992,NSE:KKCL,1044.3,Kewal Kiran Clothing Limited
1001,NSE:CPSEETF,32.68,Goldman Sachs CPSE ETF
1003,NSE:GANESHHOUC,222.85,Ganesh Housing Corporation Limited
1012,NSE:CREATIVEYE,3.85,Creative Eye Limited
1014,NSE:CRISIL,3019.2,CRISIL Limited
1017,NSE:SHARDACROP,320.15,Sharda Cropchem Limited
1020,NSE:SATIN,78.3,Satin Creditcare Network Limited
1021,NSE:PUNJABCHEM,1536.0,Punjab Chemicals and Crop Protection Limited
1023,NSE:CREST,123.15,Crest Ventures Limited
1024,NSE:BAYERCROP,5246.45,Bayer CropScience Limited
1028,NSE:CTE,63.7,Cambridge Technology Enterprises Limited
1031,NSE:CURATECH,1.6,CURA Technologies Limited
1032,NSE:CUBEXTUB,24.05,Cubex Tubings Limited
1036,NSE:CUMMINSIND,926.15,Cummins India Limited
1037,NSE:CYBERTECH,177.0,CyberTech Systems and Software Limited
1038,NSE:CYBERMEDIA,10.15,Cyber Media (India) Limited
1042,NSE:CYIENT,1178.0,Cyient Limited
1043,NSE:COFFEEDAY,39.2,Coffee Day Enterprises Limited
1045,NSE:HATHWAY,27.3,Hathway Cable & Datacom Limited
1049,NSE:UMANGDAIRY,80.05,UMANG DAIRIES INR5
1050,NSE:DAAWAT,72.55,LT Foods Limited
1053,NSE:DATAMATICS,353.5,Datamatics Global Services Limited
1054,NSE:DBREALTY,41.3,DB Realty Ltd
1056,NSE:DBCORP,97.75,D. B. Corp Limited
1057,NSE:DCW,52.45,DCW Limited
1059,NSE:DCM,53.4,DCM Limited
1060,NSE:DCBBANK,94.6,DCB Bank Limited
1061,NSE:DCMSHRIRAM,1208.3,DCM Shriram Limited
1064,NSE:DELTACORP,295.25,Delta Corp Limited
1066,NSE:HIL,5230.0,HIL Limited
1067,NSE:NDL,76.0,Nandan Denim Limited
1068,NSE:DHUNINV,639.15,Dhunseri Investments Limited
1069,NSE:DTIL,288.65,DHUNSERI TEA & IND INR10
1070,NSE:DHARSUGAR,20.45,Dharani Sugars and Chemicals Limited
1074,NSE:DHAMPURSUG,328.35,Dhampur Sugar Mills Limited
1076,NSE:DHANBANK,17.0,Dhanlaxmi Bank Limited
1077,NSE:DISHTV,18.5,Dish TV India Limited
1078,NSE:DIAPOWER,1.55,Diamond Power Infrastructure Limited
1082,NSE:GDL,284.3,Gateway Distriparks Limited
1085,NSE:RKDL,14.3,Ravi Kumar Distilleries Limited
1090,NSE:DICIND,467.0,DIC India Limited
1091,NSE:PIONDIST,181.0,Pioneer Distilleries Limited
1093,NSE:DIVISLAB,5338.75,Divi's Laboratories Limited
1094,NSE:DLF,440.0,DLF Limited
1095,NSE:DLINKINDIA,145.95,D-Link (India) Limited
1096,NSE:DONEAR,59.4,Donear Industries Limited
1102,NSE:DQE,0.9,DQ Entertainment (International) Limited
1105,NSE:PDPL,2.95,Parenteral Drugs (India) Limited
1109,NSE:KILITCH,167.1,Kilitch Drugs (India) Limited
1112,NSE:LALPATHLAB,3672.65,Dr. Lal PathLabs Limited
1113,NSE:MANGALAM,142.1,Mangalam Drugs & Organics Limited
1115,NSE:DREDGECORP,379.0,Dredging Corporation of India Limited
1117,NSE:JINDRILL,153.25,Jindal Drilling & Industries Limited
1121,NSE:DSSL,169.25,Dynacons Systems & Solutions Limited
1127,NSE:DWARKESH,75.7,Dwarikesh Sugar Industries Limited
1132,NSE:DYNAMATECH,2791.05,Dynamatic Technologies Limited
1135,NSE:GESHIP,357.15,The Great Eastern Shipping Company Limited
1138,NSE:EASUNREYRL,2.95,Easun Reyrolle Limited
1139,NSE:EASTSILK,5.25,Eastern Silk Industries Limited
1140,NSE:EBANK,3890.0,Edelweiss ETF - Nifty Bank
1141,NSE:ECLERX,2348.6,eClerx Services Limited
1143,NSE:VIKASECO,2.25,Vikas EcoTech Limited
1148,NSE:GANECOS,498.4,Ganesha Ecosphere Limited
1149,NSE:EDUCOMP,2.95,Educomp Solutions Limited
1150,NSE:EDELWEISS,83.15,Edelweiss Financial Services Limited
1153,NSE:MTEDUCARE,9.15,MT Educare Limited
1154,NSE:NAUKRI,6999.0,Info Edge (India) Limited
1155,NSE:NIFTYEES,22705.0,Edelweiss ETF - Nifty 50
1156,NSE:NAVNETEDUL,114.6,Navneet Education Limited
1166,NSE:SKMEGGPROD,85.0,SKM Egg Products Export (India) Limited
1167,NSE:EICHERMOT,2851.9,Eicher Motors Limited
1168,NSE:EIHOTEL,143.8,EIH Limited
1169,NSE:EIMCOELECO,411.95,Eimco Elecon (India) Limited
1171,NSE:EIDPARRY,491.2,E.I.D.-Parry (India) Limited
1175,NSE:ELGIEQUIP,203.8,ELGI Equipments Limited
1177,NSE:TVSELECT,175.45,TVS Electronics Limited
1188,NSE:MIRCELECTR,20.95,MIRC Electronics Limited
1192,NSE:BAJAJELEC,1305.65,Bajaj Electricals Limited
1194,NSE:INDNIPPON,410.5,India Nippon Electricals Limited
1198,NSE:ELECTHERM,137.45,Electrotherm (India) Limited
1201,NSE:ELGIRUBCO,39.8,Elgi Rubber Company Limited
1204,NSE:KECL,24.3,Kirloskar Electric Company Limited
1205,NSE:PGEL,547.8,PG Electroplast Limited
1207,NSE:ELECON,167.3,Elecon Engineering Company Limited
1210,NSE:SALZERELEC,166.5,SALZER ELECTRONICS INR10
1211,NSE:EMCO,2.1,EMCO Limited
1213,NSE:PIONEEREMB,62.2,Pioneer Embroideries Limited
1214,NSE:EMAMILTD,555.2,Emami Limited
1215,NSE:EMMBI,108.2,Emmbi Industries Limited
1217,NSE:EMKAY,119.7,Emkay Global Financial Services Limited
1221,NSE:SHEMAROO,141.55,Shemaroo Entertainment Limited
1222,NSE:SADBHAV,55.6,Sadbhav Engineering Limited
1223,NSE:RELIGARE,175.2,Religare Enterprises Limited
1224,NSE:PATELENG,27.45,Patel Engineering Limited
1226,NSE:ENIL,187.15,Entertainment Network (India) Limited
1229,NSE:KARMAENG,22.8,Karma Energy Limited
1231,NSE:A2ZINFRA,4.85,A2Z Infra Engineering Limited
1232,NSE:SHRIRAMEPC,6.8,Shriram EPC Limited
1234,NSE:REVATHI,668.0,Revathi Equipment Limited
1239,NSE:EROSMEDIA,21.15,Eros International Media Limited
1240,NSE:ESSARSHPNG,11.75,Essar Shipping Limited
1241,NSE:ESCORTS,1541.3,Escorts Limited
1242,NSE:ESABINDIA,2452.2,ESAB India Limited
1245,NSE:ESTER,154.1,Ester Industries Limited
1246,NSE:IBREALEST,175.9,Indiabulls Real Estate Limited
1250,NSE:PRESTIGE,456.9,Prestige Estates Projects Limited
1258,NSE:KOTAKNIFTY,194.16,Kotak Nifty ETF
1259,NSE:KOTAKGOLD,41.39,Kotak Gold ETF
1260,NSE:UTISENSETF,649.95,UTI Sensex ETF
1263,NSE:GOLDSHARE,41.3,UTI Gold ETF
1265,NSE:KOTAKBKETF,401.0,Kotak Banking ETF
1266,NSE:IDBIGOLD,4370.0,IDBI Gold ETF
1269,NSE:HDFCMFGETF,42.18,HDFC Gold ETF
1273,NSE:HDFCNIFETF,196.82,HDFC Nifty ETF
1274,NSE:HDFCSENETF,659.8,HDFC Sensex ETF
1279,NSE:UTINIFTETF,1955.5,UTI Nifty ETF
1281,NSE:KOTAKPSUBK,268.51,Kotak PSU Bank ETF
1282,NSE:KOTAKNV20,102.44,Kotak NV 20 ETF
1284,NSE:EUROMULTI,1.45,Euro Multivision Limited
1287,NSE:EVEREADY,383.05,Eveready Industries India Limited
1288,NSE:EVERESTIND,447.65,Everest Industries Limited
1290,NSE:EXIDEIND,187.55,Exide Industries Limited
1293,NSE:HINDOILEXP,199.75,Hindustan Oil Exploration Company Limited
1295,NSE:EXCELINDUS,1079.0,Excel Industries Limited
1296,NSE:NORBTEAEXP,7.3,Norben Tea & Exports Ltd
1297,NSE:NAGREEKEXP,31.8,Nagreeka Exports Limited
1301,NSE:NUCLEUS,592.55,Nucleus Software Exports Limited
1302,NSE:ORBTEXP,81.4,Orbit Exports Limited
1303,NSE:SELAN,162.7,Selan Exploration Technology Limited
1307,NSE:RAJESHEXPO,637.7,Rajesh Exports Limited
1309,NSE:EXCEL,3.15,Excel Realty N Infra Limited
1310,NSE:KABRAEXTRU,245.2,Kabra Extrusiontechnik Limited
1311,NSE:SAKUMA,10.6,Sakuma Exports Limited
1312,NSE:GOKEX,226.25,Gokaldas Exports Limited
1314,NSE:PDSMFL,1390.0,PDS Multinational Fashions Limited
1317,NSE:MONTECARLO,391.7,Monte Carlo Fashions Limited
1321,NSE:SUNDRMFAST,943.05,Sundram Fasteners Limited
1322,NSE:INDTERRAIN,48.65,Indian Terrain Fashions Limited
1324,NSE:FLFL,64.6,Future Lifestyle Fashions Limited
1327,NSE:FCSSOFT,1.6,FCS Software Solutions Limited
1329,NSE:FCL,125.35,Fineotex Chemical Limited
1330,NSE:FDC,356.85,FDC Limited
1333,NSE:FMGOETZE,277.0,Federal-Mogul Goetze (India) Limited
1335,NSE:FEDERALBNK,96.05,The Federal Bank Limited
1336,NSE:GSFC,137.3,Gujarat State Fertilizers & Chemicals Limited
1337,NSE:SHREEPUSHK,241.0,Shree Pushkar Chemicals & Fertilisers Limited
1339,NSE:ROHITFERRO,11.7,Rohit Ferro-Tech Limited
1342,NSE:IMPEXFERRO,1.2,Impex Ferro Tech Limited
1345,NSE:CHAMBLFERT,389.9,Chambal Fertilisers and Chemicals Limited
1346,NSE:NFL,59.35,National Fertilizers Limited
1348,NSE:MADRASFERT,31.25,Madras Fertilizers Limited
1350,NSE:SRTRANSFIN,1391.8,Shriram Transport Finance Company Limited
1351,NSE:SARLAPOLY,56.6,Sarla Performance Fibers Limited
1354,NSE:IBULHSGFIN,246.3,Indiabulls Housing Finance Limited
1355,NSE:FSL,216.3,Firstsource Solutions Limited
1361,NSE:GICHSGFIN,161.95,GIC Housing Finance Limited
1362,NSE:CAMLINFINE,189.3,CAMLIN FINE SCIENC INR1
1363,NSE:CONSOFINVT,169.0,Consolidated Finvest & Holdings Limited
1364,NSE:JMFINANCIL,94.4,JM Financial Limited
1365,NSE:SUNDARMFIN,2460.0,Sundaram Finance Limited
1367,NSE:NAHARCAP,296.1,Nahar Capital and Financial Services Limited
1371,NSE:GLFL,3.2,Gujarat Lease Financing Limited
1374,NSE:FILATEX,116.85,Filatex India Limited
1375,NSE:TCIFINANCE,5.3,TCI Finance Limited
1376,NSE:NAHARPOLY,249.85,Nahar Poly Films Limited
1378,NSE:NITINFIRE,1.25,Nitin Fire Protection Industries Limited
1381,NSE:MOTILALOFS,921.25,Motilal Oswal Financial Services Limited
1384,NSE:NAVINFLUOR,3960.55,Navin Fluorine International Limited
1385,NSE:FLEXITUFF,18.55,Flexituff International Limited
1387,NSE:FMNL,10.55,Future Market Networks Limited
1390,NSE:MMFL,904.15,MM Forgings Limited
1391,NSE:FOSECOIND,1500.0,Foseco India Limited
1392,NSE:FORTIS,267.3,Fortis Healthcare Limited
1395,NSE:ADFFOODS,978.25,ADF Foods Limited
1396,NSE:RKFORGE,1164.8,Ramkrishna Forgings Limited
1399,NSE:HERITGFOOD,478.35,Heritage Foods Limited
1401,NSE:METALFORGE,5.25,Metalyst Forgings Limited
1404,NSE:PFOCUS,91.65,Prime Focus Limited
1406,NSE:RELAXO,1374.0,Relaxo Footwears Limited
1410,NSE:HILTON,13.6,Hilton Metal Forging Limited
1414,NSE:LGBFORGE,6.85,LGB Forge Limited
1419,NSE:KALYANIFRG,200.95,Kalyani Forge Limited
1422,NSE:HFCL,80.6,Himachal Futuristic Communications Limited
1424,NSE:UCALFUEL,160.65,Ucal Fuel Systems Limited
1436,NSE:IGL,505.85,Indraprastha Gas Limited
1437,NSE:GABRIEL,155.8,Gabriel India Limited
1438,NSE:GALLISPAT,53.5,Gallantt Ispat Limited
1439,NSE:GATI,148.3,Gati Limited
1441,NSE:GUJGASLTD,641.7,GUJARAT GAS LIMITE INR10 NEW
1448,NSE:GANDHITUBE,440.0,Gandhi Special Tubes Limited
1453,NSE:ONGC,162.8,Oil and Natural Gas Corporation Limited
1457,NSE:INTEGRA,4.5,Integra Garments and Textiles Limited
1461,NSE:GANGOTRI,1.15,Gangotri Textiles Limited
1462,NSE:GAYAPROJ,49.5,Gayatri Projects Limited
1468,NSE:GALLANTT,78.85,Gallantt Metal Limited
1470,NSE:GENUSPOWER,86.2,Genus Power Infrastructures Limited
1472,NSE:LYPSAGEMS,5.35,Lypsa Gems & Jewellery Limited
1475,NSE:GENESYS,286.0,Genesys International Corporation Limited
1478,NSE:SHANTIGEAR,164.5,Shanthi Gears Limited
1479,NSE:MOTOGENFIN,25.3,The Motor & General Finance Limited
1483,NSE:HITECHGEAR,262.15,The Hi-Tech Gears Limited
1489,NSE:GHCL,464.85,GHCL Limited
1491,NSE:PNBGILTS,69.2,PNB Gilts Ltd.
1492,NSE:GIPCL,98.3,Gujarat Industries Power Company Limited
1498,NSE:GIRRESORTS,119.95,GIR Natureview Resorts Limited
1499,NSE:GINNIFILA,34.7,Ginni Filaments Limited
1500,NSE:GISOLUTION,3.95,GI Engineering Solutions Limited
1501,NSE:GILLETTE,5860.05,Gillette India Limited
1503,NSE:GKWLIMITED,683.0,GKW Limited
1504,NSE:GLOBUSSPR,1461.2,Globus Spirits Limited
1505,NSE:GLENMARK,522.8,Glenmark Pharmaceuticals Limited
1506,NSE:GLAXO,1490.8,GlaxoSmithkline Pharmaceuticals Limited
1508,NSE:INDIAGLYCO,933.0,India Glycols Limited
1516,NSE:SGL,15.85,STL Global Limited
1517,NSE:ONMOBILE,125.45,OnMobile Global Limited
1520,NSE:HINDNATGLS,36.1,Hindusthan National Glass & Industries Limited
1522,NSE:GLOBALVECT,57.65,Global Vectra Helicorp Limited
1527,NSE:HGS,2841.0,Hinduja Global Solutions Limited
1530,NSE:PGIL,307.95,Pearl Global Industries Limited
1532,NSE:GMBREW,827.5,G.M.Breweries Limited
1533,NSE:GMDCLTD,78.0,Gujarat Mineral Development Corporation Limited
1535,NSE:GMRINFRA,43.75,GMR Infrastructure Limited
1536,NSE:GODREJIND,576.0,Godrej Industries Limited
1537,NSE:GPIL,1424.5,Godawari Power & Ispat Limited
1538,NSE:GODREJCP,1040.0,Godrej Consumer Products Limited
1539,NSE:GOKUL,27.7,Gokul Refoils & Solvent Ltd
1541,NSE:GOLDENTOBC,155.1,Golden Tobacco Limited
1546,NSE:GOCLCORP,358.4,GOCL CORPORATION L INR2
1549,NSE:SHIRPUR-G,4.95,Shirpur Gold Refinery Limited
1552,NSE:GOLDTECH,40.05,Goldstone Technologies Limited
1553,NSE:GOLDIAM,983.4,Goldiam International Limited
1554,NSE:SETFGOLD,4204.0,SBI MUTUAL FUND SBI-ETF GOLD
1557,NSE:GODREJPROP,2487.6,Godrej Properties Limited
1559,NSE:GOODLUCK,305.9,Goodluck India Limited
1561,NSE:GODFRYPHLP,1347.05,Godfrey Phillips India Limited
1564,NSE:GPPL,113.05,Gujarat Pipavav Port Limited
1566,NSE:GULFPETRO,54.65,GP Petroleums Limited
1568,NSE:GREAVESCOT,141.65,Greaves Cotton Limited
1569,NSE:GRANULES,324.95,Granules India Limited
1573,NSE:GSS,83.55,GSS Infotech Limited
1574,NSE:GTLINFRA,1.75,GTL Infrastructure Limited
1575,NSE:GTL,14.75,GTL Limited
1578,NSE:GTNTEX,8.25,GTN Textiles Limited
1582,NSE:GULFOILLUB,592.65,Gulf Oil Lubricants India Limited
1584,NSE:GULPOLY,330.8,Gulshan Polyols Limited
1585,NSE:TIMESGTY,53.25,Times Guaranty Ltd.
1588,NSE:GVKPIL,2.5,GVK Power & Infrastructure Limited
1590,NSE:TAJGVK,151.2,TAJGVK Hotels & Resorts Limited
1593,NSE:HARRMALAYA,186.05,Harrisons Malayalam Limited
1596,NSE:HAVELLS,1468.15,Havells India Limited
1597,NSE:HBLPOWER,59.0,HBL Power Systems Limited
1600,NSE:HCLTECH,1229.9,HCL Technologies Limited
1602,NSE:HCG,256.6,HealthCare Global Enterprises Limited
1603,NSE:HCL-INSYS,14.15,HCL Infosystems Limited
1608,NSE:HEIDELBERG,259.85,HeidelbergCement India Limited
1613,NSE:HEG,2369.55,HEG Limited
1615,NSE:HEXATRADEX,173.75,Hexa Tradex Limited
1618,NSE:HERCULES,148.3,Hercules Hoists Limited
1619,NSE:TTKHLTCARE,685.3,TTK HEALTHCARE INR10
1620,NSE:HEROMOTOCO,2939.1,Hero MotoCorp Limited
1625,NSE:HINDMOTORS,17.3,Hindustan Motors Limited
1627,NSE:HINDCOMPOS,326.95,Hindustan Composites Limited
1631,NSE:HINDCOPPER,141.8,Hindustan Copper Limited
1632,NSE:HIKAL,516.55,Hikal Limited
1635,NSE:BAJAJHIND,15.05,Bajaj Hindusthan Sugar Limited
1639,NSE:HINDALCO,537.95,Hindalco Industries Limited
1644,NSE:HIMATSEIDE,262.55,Himatsingka Seide Limited
1648,NSE:BAJAJHLDNG,4747.0,Bajaj Holdings & Investment Limited
1650,NSE:HMT,30.3,HMT Limited
1653,NSE:NH,514.55,Narayana Hrudayalaya Limited
1654,NSE:HSIL,241.65,HSIL Limited
1656,NSE:HTMEDIA,26.55,HT Media Limited
1657,NSE:INDIANHUME,204.9,The Indian Hume Pipe Company Limited
1660,NSE:HUBTOWN,38.15,Hubtown Limited
1669,NSE:ICRA,3699.0,ICRA Limited
1673,NSE:IDFC,55.4,IDFC Limited
1678,NSE:IFCI,14.2,IFCI Limited
1679,NSE:IFBIND,1174.55,IFB Industries Limited
1682,NSE:IGARASHI,578.1,Igarashi Motors India Limited
1684,NSE:IGPL,880.0,I G Petrochemicals Limited
1685,NSE:IITL,73.0,Industrial Investment Trust Limited
1687,NSE:IIFL,294.5,IIFL Holdings Limited
1690,NSE:IL&FSENGG,4.95,IL&FS Engineering and Construction Company Limited
1692,NSE:IVC,6.3,IL&FS Investment Managers Limited
1693,NSE:IL&FSTRANS,3.85,IL&FS Transportation Networks Limited
1695,NSE:INDLMETER,13.2,IMP Powers Limited
1696,NSE:IOB,22.8,Indian Overseas Bank
1697,NSE:IOC,137.15,Indian Oil Corporation Limited
1700,NSE:IPCALAB,2426.5,Ipca Laboratories Limited
1705,NSE:SUNFLAG,85.7,Sunflag Iron And Steel Company Limited
1707,NSE:ISMTLTD,36.5,ISMT Limited
1708,NSE:ISFT,149.75,IntraSoft Technologies Limited
1710,NSE:SMLISUZU,626.0,SML Isuzu Limited
1711,NSE:SATHAISPAT,3.25,Sathavahana Ispat Limited
1714,NSE:ITC,261.5,ITC Limited
1718,NSE:ITI,127.95,ITI Limited
1719,NSE:PILITA,7.4,PIL ITALICA LIFESTYLE LIMITED
1723,NSE:IVP,118.4,IVP Limited
1725,NSE:IZMO,96.5,IZMO Limited
1726,NSE:JAGSNPHARM,164.0,Jagsonpal Pharmaceuticals Limited
1728,NSE:JAINSTUDIO,2.3,Jain Studios Limited
1729,NSE:JAYNECOIND,26.65,Jayaswal Neco Industries Limited
1733,NSE:JAYSREETEA,110.4,JAYSHREE TEA INR5
1734,NSE:JPINFRATEC,2.25,Jaypee Infratech Limited
1736,NSE:JBCHEPHARM,1772.1,J. B. Chemicals & Pharmaceuticals Limited
1738,NSE:JBMA,629.0,JBM Auto Limited
1743,NSE:THANGAMAYL,1381.0,Thangamayil Jewellery Limited
1745,NSE:JHS,26.3,JHS Svendgaard Laboratories Limited
1748,NSE:JSLHISAR,327.15,Jindal Stainless (Hisar) Limited
1750,NSE:JIKIND,0.45,JIK Industries Limited
1751,NSE:JINDALSTEL,452.85,Jindal Steel & Power Limited
1752,NSE:JINDALPOLY,1056.7,Jindal Poly Films Limited
1755,NSE:JSL,178.4,Jindal Stainless Limited
1757,NSE:JMTAUTOLTD,3.15,JMT Auto Limited
1758,NSE:JMCPROJECT,114.05,JMC Projects (India) Limited
1759,NSE:JOCIL,230.0,Jocil Limited
1760,NSE:JYOTISTRUC,19.55,Jyoti Structures Limited
1761,NSE:KAMDHENU,263.15,Kamdhenu Limited
1762,NSE:KALPATPOWR,450.4,Kalpataru Power Transmission Limited
1764,NSE:KANANIIND,9.1,Kanani Industries Limited
1774,NSE:KAMATHOTEL,63.8,Kamat Hotels (India) Limited
1778,NSE:KARURVYSYA,50.9,The Karur Vysya Bank Limited
1779,NSE:KAYA,559.75,Kaya Limited
1782,NSE:KTKBANK,72.5,The Karnataka Bank Limited
1783,NSE:PKTEA,335.0,The Peria Karamalai Tea and Produce Company Limited
1785,NSE:KANORICHEM,198.0,Kanoria Chemicals & Industries Limited
1786,NSE:KICL,2141.0,Kalyani Investment Company Limited
1787,NSE:KAVVERITEL,8.6,Kavveri Telecom Products Limited
1788,NSE:KCP,144.8,The KCP Limited
1789,NSE:KDDL,526.0,KDDL Limited
1794,NSE:KEI,1001.65,KEI Industries Limited
1796,NSE:KERNEX,82.1,Kernex Microsystems (India) Limited
1799,NSE:KELLTONTEC,52.5,Kellton Tech Solutions Limited
1800,NSE:KESORAMIND,69.75,Kesoram Industries Limited
1801,NSE:SHK,155.4,S H Kelkar and Company Limited
1806,NSE:RADICO,1130.85,Radico Khaitan Limited
1808,NSE:KHANDSE,17.25,Khandwala Securities Limited
1810,NSE:KHAITANLTD,38.0,Khaitan (India) Limited
1812,NSE:KIRIINDUS,530.0,Kiri Industries Limited
1816,NSE:KIRLOSIND,1623.5,Kirloskar Industries Limited
1819,NSE:KMSUGAR,27.3,K M Sugar Mills Limited
1823,NSE:KOTHARIPET,52.2,Kothari Petrochemicals Limited
1825,NSE:KOKUYOCMLN,68.7,Kokuyo Camlin Limited
1828,NSE:KOLTEPATIL,324.95,Kolte-Patil Developers Limited
1835,NSE:KRBL,323.3,KRBL Limited
1836,NSE:KRIDHANINF,5.3,KRIDHAN INFRA LIMI INR2
1844,NSE:KWALITY,2.2,Kwality Limited
1845,NSE:LT,1792.75,Larsen & Toubro Limited
1846,NSE:MOREPENLAB,54.75,Morepen Laboratories Limited
1847,NSE:LYKALABS,80.6,Lyka Labs Limited
1848,NSE:UNICHEMLAB,262.85,Unichem Laboratories Limited
1855,NSE:LAKPRE,4.6,Lakshmi Precision Screws Limited
1857,NSE:LAMBODHARA,88.3,Lambodhara Textiles Limited
1858,NSE:VIVIMEDLAB,21.3,Vivimed Labs Limited
1859,NSE:INDSWFTLAB,63.05,Ind-Swift Laboratories Limited
1862,NSE:NEULANDLAB,1732.25,Neuland Laboratories Limited
1866,NSE:LAXMIMACH,9231.0,Lakshmi Machine Works Limited
1871,NSE:PENINLAND,12.1,Peninsula Land Limited
1872,NSE:CAPLIPOINT,911.85,CAPLIN POINT LABOR INR2
1880,NSE:LFIC,80.5,Lakshmi Finance & Industrial Corporation Limited
1883,NSE:LCCINFOTEC,1.9,LCC Infotech Limited
1886,NSE:INOXLEISUR,417.05,Inox Leisure Limited
1888,NSE:LGBBROSLTD,513.3,L.G. Balakrishnan & Bros Limited
1889,NSE:SUVEN,114.9,Suven Life Sciences Limited
1890,NSE:SONATSOFTW,937.4,Sonata Software Limited
1892,NSE:RPGLIFE,651.45,RPG Life Sciences Limited
1896,NSE:MOTHERSUMI,242.95,Motherson Sumi Systems Limited
1897,NSE:MCLEODRUSS,30.3,McLeod Russel India Limited
1898,NSE:COUNCODOS,3.5,Country Condo'S Limited
1899,NSE:COROMANDEL,870.2,Coromandel International Limited
1907,NSE:MOIL,172.6,MOIL Limited
1909,NSE:SYMPHONY,1084.0,Symphony Limited
1912,NSE:NECLIFE,30.7,Nectar Lifesciences Limited
1921,NSE:PHOENIXLTD,985.0,The Phoenix Mills Limited
1926,NSE:MAJESCO,92.1,MAJESCO LIMITED INR5
1929,NSE:MANGTIMBER,18.1,Mangalam Timber Products Limited
1933,NSE:BANCOINDIA,197.1,Banco Products (India) Limited
1934,NSE:UPL,748.55,UPL Limited
1938,NSE:INDUSINDBK,1209.8,IndusInd Bank Limited
1945,NSE:GRAVITA,208.0,Gravita India Limited
1956,NSE:CASTEXTECH,0.8,Castex Technologies Limited
1962,NSE:PUNJLLOYD,1.9,Punj Lloyd Limited
1967,NSE:PETRONET,235.7,Petronet LNG Limited
1968,NSE:SICAL,21.6,Sical Logistics Limited
1969,NSE:PATINTLOG,22.9,Patel Integrated Logistics Limited
1970,NSE:SHREYAS,392.0,Shreyas Shipping and Logistics Limited
1971,NSE:LOVABLE,132.65,Lovable Lingerie Limited
1972,NSE:LOKESHMACH,52.6,Lokesh Machines Limited
1973,NSE:SNOWMAN,43.3,Snowman Logistics Limited
1975,NSE:VRLLOG,395.95,VRL Logistics Limited
1976,NSE:SAKHTISUG,15.55,Sakthi Sugars Limited
1977,NSE:PRIMESECU,121.85,Prime Securities Limited
1978,NSE:INFOMEDIA,4.25,Infomedia Press Limited
1979,NSE:TVSMOTOR,582.4,TVS Motor Company Limited
1980,NSE:TTML,55.65,Tata Teleservices (Maharashtra) Limited
1981,NSE:TRF,161.8,TRF Limited
1982,NSE:TITAN,2655.9,Titan Company Limited
1983,NSE:TIJARIA,7.0,Tijaria Polypipes Limited
1984,NSE:TI,48.0,Tilaknagar Industries Ltd.
1985,NSE:THERMAX,1421.0,Thermax Limited
1987,NSE:TATAMTRDVR,266.5,Tata Motors Limited
1988,NSE:TATACOMM,1501.0,Tata Communications Limited
1989,NSE:TAKE,51.7,TAKE Solutions Limited
1990,NSE:SURANASOL,24.45,Surana Solar Limited
1992,NSE:LUXIND,3790.05,Lux Industries Limited
1997,NSE:LUMAXIND,1450.0,Lumax Industries Limited
2000,NSE:MTNL,19.95,Mahanagar Telephone Nigam Limited
2001,NSE:MASTEK,3269.7,Mastek Limited
2002,NSE:MARKSANS,69.75,Marksans Pharma Limited
