Symbol,Price,PrevDayClose,ChangeInPercentage
NSE:OMAXAUTO,47.35,48.65,-2.67
NSE:OIL,239,235.2,1.62
NSE:OBEROIRLTY,965,956.35,0.9
NSE:MCX,1978.45,2067.75,-4.32
NSE:LAOPALA,312.55,307.5,1.64
NSE:BANKINDIA,61.15,59.85,2.17
NSE:BANG,37,36.55,1.23
NSE:ABAN,66.85,65.3,2.37
NSE:ONWARDTEC,225.5,220.7,2.17
NSE:TCI,473.35,471.55,0.38
NSE:ORIENTBELL,364.9,354.25,3.01
NSE:QUINTEGRA,1.05,1,5
NSE:QUICKHEAL,233.5,235.6,-0.89
NSE:QGOLDHALF,2039,2064.75,-1.25
NSE:QNIFTY,1926,1910,0.84
NSE:INDOCO,488.3,463.05,5.45
NSE:TEXRAIL,36.95,35.8,3.21
NSE:UTTAMSTL,4.25,4.25,0
NSE:USHAMART,91.4,90.1,1.44
NSE:UNITECH,1.8,1.85,-2.7
NSE:UNIENTER,130.3,127.45,2.24
NSE:UMESLTD,3.9,4,-2.5
NSE:UGARSUGAR,29.5,29,1.72
NSE:CUB,172.55,171.35,0.7
NSE:BVCL,23.4,22.95,1.96
NSE:VSTTILLERS,3232.45,3239.45,-0.22
NSE:VSTIND,3850,3751.7,2.62
NSE:VOLTAMP,1483,1478.15,0.33
NSE:VIPIND,573,575.6,-0.45
NSE:VIMTALABS,314,297.95,5.39
NSE:HMVL,79.55,78.1,1.86
NSE:VLSFINANCE,202,201.85,0.07
NSE:VMART,4425.65,4325.65,2.31
NSE:GEECEE,159.5,158.95,0.35
NSE:VINYLINDIA,293.35,295.9,-0.86
NSE:GNFC,480.8,474.6,1.31
NSE:VESUVIUS,1191.3,1193.8,-0.21
NSE:VAIBHAVGBL,727.8,714.35,1.88
NSE:VADILALIND,1100,1072.35,2.58
NSE:VASWANI,19.3,17.95,7.52
NSE:WIPRO,713.65,708.25,0.76
NSE:WANBURY,86,82.3,4.5
NSE:WELSPUNIND,160.4,160.9,-0.31
NSE:WEBELSOLAR,82.9,81.3,1.97
NSE:WABCOINDIA,7703,7486.85,2.89
NSE:WOCKPHARMA,486.25,490.5,-0.87
NSE:WHIRLPOOL,2429.05,2445.65,-0.68
NSE:WILLAMAGOR,25.35,25.9,-2.12
NSE:WENDT,4462.35,4427.2,0.79
NSE:ZYDUSWELL,2309.2,2314.15,-0.21
NSE:WSTCSTPAPR,274,275.75,-0.63
NSE:WELENT,101.95,101.45,0.49
NSE:SSWL,1855,1823.05,1.75
NSE:WONDERLA,248.1,246.35,0.71
NSE:XCHANGING,113.7,115.95,-1.94
NSE:HINDZINC,390.15,346.7,12.53
NSE:ZENITHEXPO,93.35,94,-0.69
NSE:TBZ,90.4,87.8,2.96
NSE:ZEEL,315.5,319.85,-1.36
NSE:ZUARIGLOB,137.5,136.9,0.44
NSE:ZEEMEDIA,13,13.25,-1.89
NSE:ZUARI,125.7,123.75,1.58
NSE:ZEELEARN,14.35,14.35,0
NSE:ZENTEC,230.5,226.55,1.74
NSE:ZENSARTECH,512.5,508.35,0.82
NSE:ZODIACLOTH,118.75,118.2,0.47
